object_or_metric,appears_in_file,implementation_line_or_section,registry_entry,textbook_definition,campaign_spec_authorization,status,severity_if_unregistered
admissibility_filter,tests/test_vortex_admissibility.py,L35,formal_object_registry.json,Section 5.03.26,configs/vortex_admissibility_campaign.json,REGISTERED,V0_none
organization_score,tests/test_vortex_admissibility.py,L107,None,Section F.2,configs/vortex_admissibility_campaign.json,UNREGISTERED,V3_registry_gap
future_distinction_bias,tests/test_vortex_admissibility.py,L82,None,Section F.2,configs/vortex_admissibility_campaign.json,UNREGISTERED,V3_registry_gap
delta_alpha,tests/test_vortex_admissibility.py,L101,None,Section F.2,configs/vortex_admissibility_campaign.json,UNREGISTERED,V3_registry_gap
D,tests/test_vortex_admissibility.py,L85,formal_object_registry.json,Section F.2,configs/vortex_admissibility_campaign.json,REGISTERED,V0_none
valid_bar,tests/test_vortex_admissibility.py,L79,evidence_campaign_template_registry.json,Section F.5,configs/vortex_admissibility_campaign.json,REGISTERED,V0_none
random_bar,tests/test_vortex_admissibility.py,L68,evidence_campaign_template_registry.json,Section F.5,configs/vortex_admissibility_campaign.json,REGISTERED,V0_none
collapse_bar,tests/test_vortex_admissibility.py,L62,evidence_campaign_template_registry.json,Section F.5,configs/vortex_admissibility_campaign.json,REGISTERED,V0_none
no_bar,tests/test_vortex_admissibility.py,L56,evidence_campaign_template_registry.json,Section F.5,configs/vortex_admissibility_campaign.json,REGISTERED,V0_none
history_accumulation,tests/test_vortex_admissibility.py,L92,None,Section F.2,configs/vortex_admissibility_campaign.json,UNREGISTERED,V3_registry_gap
memory_or_residue_surrogate,tests/test_vortex_admissibility.py,L37,None,Section F.2,configs/vortex_admissibility_campaign.json,UNREGISTERED,V3_registry_gap
SUPPORTED_verdict,results/vortex_admissibility_validation/vortex_evidence_review.md,L35,None,Section F.2,configs/vortex_admissibility_campaign.json,UNREGISTERED,V5_claim_integrity_violation
