turn,alive_count,survival_fraction,x_mean,x_rms,y_mean,y_rms,z_mean,z_rms,delta_mean,delta_rms,px_rms,py_rms,emittance_proxy_x,emittance_proxy_y
0,10000,1.0,-1.6855394290909487e-06,0.0020248118028978667,-2.57796403467638e-06,0.00203265396883154,5.5465286551270496e-05,0.009913595509740188,-2.39593656241548e-05,0.0010010566911674128,0.0004969505214914103,0.0004960040469813514,1.0062005413267732e-06,1.0081827831194635e-06
1,10000,1.0,-1.9077268906608017e-05,0.0023115195172684136,3.7634225565402544e-05,0.0030941826406484818,5.067515591094018e-05,0.009917989326963765,-2.3950653201602226e-05,0.0010010739368537644,0.0005763202040453223,0.00038785254451676046,1.0061998550505617e-06,1.0081679076790833e-06
2,10000,1.0,-3.578650804289438e-05,0.0034356453247077726,7.650388778201756e-05,0.004660459727815025,4.588661726994641e-05,0.009926731848158874,-2.3942693204952847e-05,0.0010011250539933615,0.0006372540135006664,0.0002734448826729396,1.006199632819678e-06,1.0081543285094694e-06
3,10000,1.0,-5.1217962191896384e-05,0.004750426981310849,0.00011264471993140465,0.006232929851343502,4.1099520193106364e-05,0.009939812695365442,-2.393548538416668e-05,0.0010012100438205607,0.000677001282628291,0.00017251633480810575,1.0061999125774659e-06,1.0081421050471042e-06
4,9999,0.9999,-6.539970164660712e-05,0.006008984016504012,0.00014159231360993612,0.007644722841762856,3.702409427733409e-05,0.009957460914179164,-2.3998537343137355e-05,0.0010013548548712023,0.0006938861766026073,0.00014745414194202458,1.0062416645957885e-06,1.007109203983697e-06
5,9992,0.9992,-7.483599354587038e-05,0.007096670086017341,0.00016798091337759787,0.008800136724493745,3.1086998840003926e-05,0.009977347469692328,-2.3812810609806646e-05,0.001001487633583751,0.0006861709360740192,0.00022723174275671127,1.004788674145127e-06,1.0041013722746089e-06
6,9968,0.9968,-8.537594119278792e-05,0.007958924609588353,0.0001926516802345845,0.009591153765571169,2.339073441341289e-05,0.00999736598441995,-2.4067562310023436e-05,0.0010016494140599023,0.0006553413066036895,0.0003364455571250213,1.002545192762052e-06,9.94378978397132e-07
7,9929,0.9929,-8.422279342434416e-05,0.008535408727185596,0.00022051300176517149,0.010020605329986705,2.0419047994262074e-05,0.01003712366514685,-2.4584237769444142e-05,0.0010017026703661024,0.0006009669966934665,0.00044172917552497853,9.989838240638672e-07,9.830761830242148e-07
8,9908,0.9908,-8.64456816769055e-05,0.008831711657705962,0.00024671811441248024,0.010166023919801715,1.3205033647673472e-05,0.01007506048538158,-2.4362014025853234e-05,0.0010020622899057838,0.00052826262597558,0.0005368785932351323,9.960134206784603e-07,9.77998011140798e-07
9,9906,0.9906,-8.384990324471131e-05,0.008852617200422774,0.0002508650427460662,0.010008451115710299,6.871771030229938e-06,0.010113350866556856,-2.446348845942582e-05,0.001002419289958908,0.0004411357218204791,0.0006170311228884496,9.96045304655081e-07,9.77173593250179e-07
10,9906,0.9906,-8.0065637846413e-05,0.008573750740556696,0.00024041895937368778,0.009514715212143341,1.979289224442388e-06,0.010155930930895868,-2.446240902896232e-05,0.0010027403298231612,0.0003431317728552284,0.0006770545985241444,9.96054383477834e-07,9.771713942413806e-07
11,9906,0.9906,-7.342968365719256e-05,0.008006220177655503,0.00022139277938631343,0.008698139797974586,-2.9131303959012527e-06,0.010202595187383577,-2.4462098101729537e-05,0.0010030952846634582,0.0002435595843312247,0.000714131327795677,9.960641531143767e-07,9.771698076463058e-07
12,9906,0.9906,-6.417894501421403e-05,0.0071744321934799895,0.00019446564778786426,0.00759333480884392,-7.805641529482244e-06,0.010253293694517863,-2.446255566791663e-05,0.0010034841630655337,0.0001661900465574975,0.0007267493225414425,9.960744680671538e-07,9.771689103724343e-07
13,9906,0.9906,-5.264343948216671e-05,0.0061168742612248295,0.0001605986780064865,0.006251563562052858,-1.269839787785439e-05,0.010307973248028407,-2.4463781741846813e-05,0.0010039069744398146,0.00016468877527190583,0.0007144027274194471,9.960851887108224e-07,9.771688105294431e-07
14,9906,0.9906,-3.923452509873873e-05,0.004890928227263476,0.00012100064688758735,0.004749563082867705,-1.759155315025219e-05,0.010366577667050864,-2.4465776361977815e-05,0.0010043637290227732,0.00024062681002718438,0.0006775864740007029,9.960962073889423e-07,9.7716962611712e-07
15,9906,0.9906,-2.443023166214194e-05,0.003591469541069203,7.708485111999512e-05,0.003229191124692239,-2.2485261068428735e-05,0.010429048085873445,-2.4468539590903016e-05,0.0010048544378783977,0.00033999534116341317,0.0006178014785004808,9.961074700432473e-07,9.771714608403797e-07
