step,residue_coherence,orientation_alignment,corridor_count
0,0.000113619,0.00110871,0
100,0.0111427,0.000905499,0
200,0.026968,0.000318427,0
300,0.0583081,0.000818939,0
400,0.12872,0.00116061,0
500,0.310033,0.00133468,2002
600,0.876913,0.000344974,52983
700,2.65026,0.000558273,65536
800,7.45695,0.000419573,65536
900,20.2982,0.000420802,65536
1000,54.9499,0.000416384,65536
1100,148.648,0.00041656,65536
1200,402.069,0.0004166,65536
1300,1087.52,0.000416602,65536
1400,2941.56,0.000416613,65536
1500,7956.34,0.000416613,65536
1600,21520.6,0.000416621,65536
1700,58208.5,0.000416629,65536
1800,157444,0.000416637,65536
1900,425857,0.000416624,65536
1999,1.14046e+06,0.000416632,65536
