step,residue_coherence,orientation_alignment,corridor_count
0,3.13682e-06,0.00197777,0
100,0.000153452,0.00192614,0
200,0.000200392,0.00184442,0
300,0.000248499,0.00177384,0
400,0.000295398,0.0017237,0
500,0.000331414,0.0016953,0
600,0.000354586,0.0016851,0
700,0.000367174,0.00168784,0
800,0.000372148,0.00169877,0
900,0.000371924,0.00171447,0
1000,0.00036824,0.00173264,0
1100,0.000362272,0.00175191,0
1200,0.000354817,0.00177155,0
1300,0.00034641,0.00179117,0
1400,0.000337414,0.00181058,0
1500,0.000328076,0.00182975,0
1600,0.000318582,0.00184867,0
1700,0.000309045,0.00186735,0
1800,0.000299554,0.00188578,0
1900,0.00029017,0.00190401,0
1999,0.000281029,0.00192184,0
