step,residue_coherence,orientation_alignment,corridor_count
0,0.000113266,0.00263424,0
100,0.0111067,0.00265373,0
200,0.0268665,0.00240129,0
300,0.0580391,0.00144836,0
400,0.127805,0.00176675,0
500,0.305708,0.00179733,64
600,0.857292,0.00226222,59332
700,2.61272,0.00153975,65536
800,7.35785,0.00213709,65536
900,20.0201,0.000477378,65536
1000,54.194,0.000878481,65536
1100,146.6,0.000394595,65536
1200,396.53,0.00142125,65536
1300,1072.55,0.000709531,65536
1400,2901.04,0.00148167,65536
1500,7846.79,0.000724112,65536
1600,21224,0.000429265,65536
1700,57407.3,0.000597033,65536
1800,155276,0.00134693,65536
1900,419990,0.000791251,65536
1999,1.12476e+06,0.0016649,65536
