step,residue_coherence,orientation_alignment,corridor_count
0,9.44422e-05,0.00263424,0
100,0.0103336,0.00263407,0
200,0.025226,0.00263099,0
300,0.0546925,0.00262028,0
400,0.12052,0.00257708,0
500,0.288036,0.00236978,28
600,0.805371,0.00300689,49145
700,2.43668,0.00438818,65536
800,6.88859,0.00325536,65536
900,18.7736,0.00176891,65536
1000,50.8312,0.00136477,65536
1100,137.509,0.00122432,65536
1200,371.941,0.00118805,65536
1300,1006.04,0.00116474,65536
1400,2721.13,0.00115629,65536
1500,7360.14,0.00115526,65536
1600,19907.9,0.00115526,65536
1700,53847.3,0.00115525,65536
1800,145645,0.00115527,65536
1900,393946,0.00115527,65536
1999,1.055e+06,0.00115526,65536
