step,residue_coherence,orientation_alignment,corridor_count
0,0.000113357,0.000550071,0
100,0.0111155,0.000508666,0
200,0.0268996,0.000371654,0
300,0.0581559,0.000471711,0
400,0.128368,0.000272046,0
500,0.297732,0.00151895,520
600,0.271523,0.000631891,1532
700,0.246911,0.00287519,3050
800,0.254284,0.00027963,6397
900,0.271268,0.00124128,11811
1000,0.31833,0.00162157,18923
1100,0.375242,0.0011845,28060
1200,0.60429,0.00360081,32864
1300,1.39896,0.00373605,32864
1400,3.26203,0.00253583,32865
1500,7.60748,0.00197473,32865
1600,17.737,0.00175708,32865
1700,41.3437,0.00164139,32865
1800,96.346,0.00160127,32865
1900,224.471,0.00159736,32865
1999,514.328,0.00185859,32671
