step,residue_coherence,orientation_alignment,corridor_count
0,0.000103853,0,0
100,0.0103418,0.00113939,0
200,0.0252371,0.00113593,0
300,0.054713,0.00112782,0
400,0.120566,0.00112415,0
500,0.288156,0.00115317,30
600,0.805765,0.00121501,49170
700,2.43783,0.00119447,65536
800,6.89168,0.00116552,65536
900,18.782,0.00115914,65536
1000,50.8538,0.00115822,65536
1100,137.57,0.00115785,65536
1200,372.104,0.00115784,65536
1300,1006.48,0.00115784,65536
1400,2722.33,0.00115784,65536
1500,7363.44,0.00115784,65536
1600,19916.6,0.00115783,65536
1700,53871,0.00115783,65536
1800,145710,0.00115781,65536
1900,394119,0.00115783,65536
1999,1.05546e+06,0.00115782,65536
