step,residue_coherence,orientation_alignment,corridor_count
0,0.000100833,0.000550071,0
100,0.0522446,0.008983,0
200,0.127465,0.0140612,0
300,0.194842,0.00528343,0
400,0.254949,0.00778269,216
500,0.334218,0.00762655,1131
600,0.525738,0.00922455,1672
700,1.10003,0.00617342,1931
800,2.70785,0.0103991,2172
900,7.07169,0.00670211,2396
1000,18.4382,0.00728858,2644
1100,48.0106,0.00560698,2891
1200,126.651,0.00906532,3077
1300,329.873,0.00516733,3256
1400,860.472,0.00838581,3446
1500,2231.31,0.00219575,3640
1600,5760.73,0.0119486,3813
1700,15014.5,0.0099121,3980
1800,38968.7,0.014435,4111
1900,101148,0.00853879,4304
1999,252863,0.0127145,4472
