step,residue_coherence,orientation_alignment,corridor_count
0,0.000212939,0.00197777,0
100,0.0249519,0.00250473,0
200,0.0759726,0.00336616,0
300,0.208176,0.000216618,0
400,0.563837,0.00119884,40555
500,1.5253,0.00138188,65536
600,4.12571,0.00152879,65536
700,11.1594,0.00154071,65536
800,30.1842,0.00155089,65536
900,81.6424,0.00157878,65536
1000,220.826,0.00157894,65536
1100,597.292,0.00157898,65536
1200,1615.58,0.00157899,65536
1300,4369.83,0.001579,65536
1400,11819.6,0.00157899,65536
1500,31969.7,0.001579,65536
1600,86472.4,0.001579,65536
1700,233891,0.00157898,65536
1800,632634,0.00157898,65536
1900,1.71115e+06,0.00157897,65536
1999,4.58252e+06,0.00157896,65536
