step,residue_coherence,orientation_alignment,corridor_count
0,0.000113516,0.00129529,0
100,0.0111315,0.00136475,0
200,0.0269393,0.00163272,0
300,0.0582449,0.00261206,0
400,0.128574,0.00226207,0
500,0.309645,0.0010019,1904
600,0.875668,0.000471445,52924
700,2.64645,0.000595122,65536
800,7.44688,0.000516252,65536
900,20.2712,0.000452182,65536
1000,54.8775,0.000468864,65536
1100,148.45,0.000462902,65536
1200,401.537,0.000462816,65536
1300,1086.08,0.00046281,65536
1400,2937.65,0.00046281,65536
1500,7945.79,0.000462813,65536
1600,21491.8,0.000462817,65536
1700,58131.5,0.00046282,65536
1800,157236,0.000462812,65536
1900,425292,0.000462817,65536
1999,1.13894e+06,0.000462806,65536
