step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,1.56841e-06,0.00197778,0,0,0
100,7.67409e-05,0.00193855,65536,0,0
200,0.000100346,0.00186873,65536,0,0
300,0.000124668,0.00179827,65536,0,0
400,0.000148379,0.00173056,65536,0,0
500,0.000166559,0.00167861,65536,0,0
600,0.000178226,0.00163453,65536,0,0
700,0.000184535,0.00159874,65536,0,0
800,0.000186989,0.0015749,65536,0,0
900,0.000186818,0.00155934,65536,0,0
1000,0.000184899,0.00154628,65536,0,0
1100,0.000181833,0.001536,65536,0,0
1200,0.000178021,0.00152741,65536,0,0
1300,0.000173734,0.00152513,65536,0,0
1400,0.000169157,0.00152123,65536,0,0
1500,0.000164417,0.00152067,65536,0,0
1600,0.000159602,0.0015201,65536,0,0
1700,0.000154771,0.00151963,65536,0,0
1800,0.00014997,0.00151741,65536,0,0
1900,0.000145229,0.00151884,65536,0,0
1999,0.000140616,0.00151931,65536,0,0
