step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,1.57484e-06,0.000577461,0,0,0
100,7.67909e-05,0.000604067,17025,0,0
200,0.000100199,0.000647186,17025,0,0
300,0.000124684,0.000682055,17025,0,0
400,0.000148579,0.000704238,17025,0,0
500,0.000166854,0.000716365,17025,0,0
600,0.00017857,0.000723137,17025,0,0
700,0.000184903,0.000728442,17025,0,0
800,0.000187364,0.000734671,17025,0,0
900,0.000187189,0.000742909,17025,0,0
1000,0.00018526,0.000753395,17025,0,0
1100,0.000182186,0.000765861,17025,0,0
1200,0.00017836,0.000779789,17025,0,0
1300,0.000174061,0.000794646,17025,0,0
1400,0.000169472,0.000809935,17025,0,0
1500,0.00016472,0.000825262,17025,0,0
1600,0.000159892,0.000840305,17025,0,0
1700,0.00015505,0.000854843,17025,0,0
1800,0.000150237,0.000868756,17025,0,0
1900,0.000145484,0.000881932,17025,0,0
1999,0.000140859,0.000894223,48511,0,0
