step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,5.99947e-06,0.00129529,0,0,0
100,0.000205437,0.0012961,65536,0,0
200,0.000242799,0.00129567,65536,0,0
300,0.000241185,0.00129503,65536,0,0
400,0.000232257,0.00129444,65536,0,0
500,0.000222802,0.00129395,65536,0,0
600,0.000213901,0.00129355,65536,0,0
700,0.000205553,0.00129323,65536,0,0
800,0.000197657,0.00129298,65536,0,0
900,0.000190142,0.00129278,65536,0,0
1000,0.000182961,0.00129263,65536,0,0
1100,0.000176091,0.00129253,65536,0,0
1200,0.000169512,0.00129243,65536,0,0
1300,0.000163208,0.00129236,65536,0,0
1400,0.000157164,0.00129231,65536,0,0
1500,0.000151368,0.00129226,65536,0,0
1600,0.000145808,0.00129223,65536,0,0
1700,0.000140471,0.0012922,65536,0,0
1800,0.000135347,0.00129219,65536,0,0
1900,0.000130426,0.00129217,65536,0,0
1999,0.000125726,0.00129215,65536,0,0
