step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,2.5988e-06,0,0,0,0
100,7.86454e-05,0.00193577,65536,0,0
200,0.000102307,0.00186832,65536,0,0
300,0.000126256,0.00180112,65536,0,0
400,0.00014953,0.00174343,65536,0,0
500,0.000167352,0.00169849,65536,0,0
600,0.00017876,0.001666,65536,0,0
700,0.000184883,0.00164392,65536,0,0
800,0.000187203,0.00162988,65536,0,0
900,0.000186937,0.00162178,65536,0,0
1000,0.000184948,0.00161801,65536,0,0
1100,0.00018183,0.00161727,65536,0,0
1200,0.000177978,0.00161876,65536,0,0
1300,0.000173662,0.00162182,65536,0,0
1400,0.000169063,0.00162606,65536,0,0
1500,0.000164307,0.00163113,65536,0,0
1600,0.000159477,0.00163685,65536,0,0
1700,0.000154637,0.00164308,65536,0,0
1800,0.000149829,0.00164968,65536,0,0
1900,0.000145083,0.00165654,65536,0,0
1999,0.000140425,0.00166354,65536,0,0
