step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,1.56781e-06,0.0021795,0,0,0
100,7.66317e-05,0.00213415,65536,0,0
200,9.99877e-05,0.00203121,65536,0,0
300,0.00012426,0.00190788,65536,0,0
400,0.000147957,0.00178774,65536,0,0
500,0.000166161,0.00168275,65536,0,0
600,0.000177888,0.00159729,65536,0,0
700,0.000184264,0.00153176,65536,0,0
800,0.000186779,0.00148452,65536,0,0
900,0.000186661,0.00145302,65536,0,0
1000,0.000184788,0.0014344,65536,0,0
1100,0.000181758,0.00142581,65536,0,0
1200,0.000177976,0.0014248,65536,0,0
1300,0.000173713,0.00142925,65536,0,0
1400,0.000169157,0.0014375,65536,0,0
1500,0.000164434,0.00144821,65536,0,0
1600,0.00015963,0.00146044,65536,0,0
1700,0.000154812,0.00147344,65536,0,0
1800,0.000150019,0.0014867,65536,0,0
1900,0.000145285,0.00149985,65536,0,0
1999,0.000140677,0.00151254,65536,0,0
