step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,1.57087e-06,0.000550071,0,0,0
100,7.66122e-05,0.000523179,65536,0,0
200,0.000100046,0.000495312,65536,0,0
300,0.000124513,0.000492857,65536,0,0
400,0.000148377,0.000512361,65536,0,0
500,0.000166657,0.000544103,65536,0,0
600,0.000178384,0.000579437,65536,0,0
700,0.000184721,0.000613495,65536,0,0
800,0.00018718,0.000644256,65536,0,0
900,0.000186999,0.000671253,65536,0,0
1000,0.000185064,0.00069477,65536,0,0
1100,0.000181979,0.000715275,65536,0,0
1200,0.000178147,0.000733342,65536,0,0
1300,0.000173841,0.000749464,65536,0,0
1400,0.000169244,0.000764027,65536,0,0
1500,0.000164491,0.000777359,65536,0,0
1600,0.00015966,0.000789689,65536,0,0
1700,0.000154816,0.000801182,65536,0,0
1800,0.000150003,0.000811964,65536,0,0
1900,0.000145251,0.000822127,65536,0,0
1999,0.000140628,0.000831634,65536,0,0
