step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,3.13987e-06,0.000734035,0,0,0
100,0.000153688,0.000757764,65532,0,0
200,0.000201241,0.000800794,65536,0,0
300,0.000250582,0.000843103,65536,0,0
400,0.000298441,0.000879658,65536,0,0
500,0.00033498,0.000910906,65536,0,0
600,0.000358337,0.00093793,65536,0,0
700,0.000370867,0.000961379,65536,0,0
800,0.000375605,0.000981622,65536,0,0
900,0.000375046,0.000998924,65536,0,0
1000,0.000370978,0.00101349,65536,0,0
1100,0.000364613,0.00102555,65536,0,0
1200,0.000356762,0.00103534,65536,0,0
1300,0.000347983,0.00104311,65536,0,0
1400,0.000338638,0.0010491,65536,0,0
1500,0.000328986,0.00105355,65536,0,0
1600,0.000319203,0.00105669,65536,0,0
1700,0.000309412,0.0010587,65536,0,0
1800,0.000299692,0.00105976,65536,0,0
1900,0.000290106,0.00106002,65536,0,0
1999,0.000280793,0.00105963,65536,0,0
