step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,3.14175e-06,0.000550071,0,0,0
100,0.000153227,0.000529796,65536,0,0
200,0.000200366,0.000505974,65536,0,0
300,0.000249905,0.000494466,65536,0,0
400,0.000298241,0.00049449,65536,0,0
500,0.000335215,0.000503797,65536,0,0
600,0.000358872,0.000518829,65536,0,0
700,0.000371584,0.000536489,65536,0,0
800,0.000376432,0.000554714,65536,0,0
900,0.000375928,0.000572277,65536,0,0
1000,0.000371882,0.000588549,65536,0,0
1100,0.000365511,0.000603276,65536,0,0
1200,0.000357652,0.00061644,65536,0,0
1300,0.000348842,0.000628113,65536,0,0
1400,0.000339466,0.000638413,65536,0,0
1500,0.000329787,0.000647491,65536,0,0
1600,0.000319968,0.0006555,65536,0,0
1700,0.00031014,0.000662551,65536,0,0
1800,0.000300387,0.000668769,65536,0,0
1900,0.00029077,0.000674251,65536,0,0
1999,0.000281424,0.000679045,65536,0,0
