step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,1.58688e-06,0.00245429,0,0,0
100,9.22453e-05,0.0024601,65533,0,0
200,0.000112627,0.00247414,65536,0,0
300,0.000110433,0.00249261,65536,0,0
400,0.000102851,0.00251287,65536,0,0
500,9.59636e-05,0.00253317,65536,0,0
600,9.17519e-05,0.00255235,65536,0,0
700,9.04858e-05,0.00256986,65536,0,0
800,9.17832e-05,0.00258562,65536,0,0
900,9.504e-05,0.00259974,65536,0,0
1000,9.95976e-05,0.0026121,65536,0,0
1100,0.000104873,0.00262258,65536,0,0
1200,0.000110342,0.00263097,65536,0,0
1300,0.000115538,0.00263715,65536,0,0
1400,0.000120126,0.00264119,65536,0,0
1500,0.000123947,0.00264324,65536,0,0
1600,0.000126988,0.00264356,65536,0,0
1700,0.000129299,0.00264236,65536,0,0
1800,0.000130953,0.0026398,65536,0,0
1900,0.00013202,0.00263616,65536,0,0
1999,0.000132568,0.00263167,65536,0,0
