step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max
0,1.57392e-06,0.00232565,0,0,0
100,7.70374e-05,0.00226394,65536,0,0
200,0.000100461,0.00214712,65536,0,0
300,0.000124543,0.00202304,65536,0,0
400,0.000148084,0.00190691,65536,0,0
500,0.000166191,0.00180434,65536,0,0
600,0.000177849,0.00171652,65536,0,0
700,0.000184177,0.0016428,65536,0,0
800,0.000186659,0.0015819,65536,0,0
900,0.000186517,0.00153227,65536,0,0
1000,0.000184629,0.00149239,65536,0,0
1100,0.000181594,0.00146077,65536,0,0
1200,0.000177811,0.00143607,65536,0,0
1300,0.000173553,0.00141706,65536,0,0
1400,0.000169003,0.00140269,65536,0,0
1500,0.000164288,0.00139206,65536,0,0
1600,0.000159494,0.00138439,65536,0,0
1700,0.000154685,0.00137905,65536,0,0
1800,0.000149903,0.00137552,65536,0,0
1900,0.000145177,0.00137337,65536,0,0
1999,0.000140576,0.00137227,65536,0,0
