step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00734139,0.00210708,28513,0.00367029,0.0445146,0.0066467,0.435074
100,5.97987,0.00255759,59521,0.13034,0.593763,0.00772397,0.908218
200,22.5311,0.0127774,58789,0.139807,0.679787,0.0081798,0.897049
300,50.6609,0.00952684,58882,0.148144,0.78387,0.00915686,0.898468
400,88.1125,0.0221435,59260,0.159744,0.778272,0.00999807,0.904236
500,133.799,0.0360347,59712,0.167351,0.798135,0.0106295,0.911133
600,187.012,0.0672697,59937,0.174109,0.780764,0.0109282,0.914566
700,262.953,0.0319338,60346,0.179302,0.729475,0.0117437,0.920807
800,338.431,0.0169367,60497,0.184704,0.813622,0.0124862,0.923111
900,400.657,0.0379791,60731,0.188463,0.754968,0.0133263,0.926682
1000,541.641,0.0530462,61029,0.193124,0.808085,0.0142171,0.931229
1100,673.167,0.047686,61197,0.1959,0.778304,0.0150155,0.933792
1200,839.709,0.0305691,61414,0.202401,0.808753,0.0159679,0.937103
1300,1000.5,0.0358404,61556,0.204174,0.827036,0.0165487,0.93927
1400,989.612,0.0468548,61697,0.209194,0.849966,0.0172234,0.941422
1500,1205.54,0.0711454,61784,0.21109,0.807618,0.0177501,0.942749
1600,1427.48,0.073668,62035,0.214696,0.785068,0.0182247,0.946579
1700,1431.85,0.0256972,62126,0.214711,0.831078,0.0184906,0.947968
1800,1712.81,0.12789,62357,0.221022,0.797963,0.0190806,0.951492
1900,2347.68,0.0642866,62386,0.223737,0.816976,0.0195588,0.951935
1999,2545.39,0.054266,62674,0.226708,0.868448,0.0201375,0.956329
