step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.007311,0.0014644,28351,0.00365509,0.0358632,0.00434797,0.432602
100,5.71657,0.00228487,35303,0.127693,0.656342,0.0050462,0.538681
200,13.2034,0.0012483,34141,0.15862,0.669493,0.0060053,0.52095
300,18.5807,0.0110222,33895,0.173687,0.712197,0.00687956,0.517197
400,22.3331,0.0121738,33812,0.184255,0.718467,0.0075422,0.51593
500,25.0855,0.00390705,33813,0.190059,0.811972,0.00817227,0.515945
600,26.8973,0.00481218,33775,0.195152,0.760091,0.00875727,0.515366
700,28.6147,0.00637266,33776,0.198903,0.802742,0.00916867,0.515381
800,30.6625,0.00837516,33860,0.204613,0.759718,0.00975706,0.516663
900,31.9762,0.012773,33936,0.207283,0.79349,0.0103769,0.517822
1000,33.5547,0.00987881,33935,0.211033,0.774162,0.0107454,0.517807
1100,34.8637,0.00484166,33978,0.213087,0.797203,0.0112434,0.518463
1200,36.1968,0.00864168,34027,0.215515,0.753645,0.0116452,0.519211
1300,37.6305,0.00314885,34099,0.218814,0.779551,0.0123028,0.520309
1400,39.4517,0.00252129,34150,0.221674,0.826159,0.0129112,0.521088
1500,40.9797,0.0037955,34177,0.224078,0.801322,0.0132793,0.5215
1600,42.2922,0.00873915,34142,0.226938,0.795392,0.0137511,0.520966
1700,43.4362,0.0154476,34222,0.230225,0.816532,0.0142259,0.522186
1800,45.0852,0.0111116,34205,0.230503,0.784643,0.0146245,0.521927
1900,46.559,0.0170547,34286,0.232663,0.81059,0.0151136,0.523163
1999,48.5528,0.0161266,25064,0.234636,0.763135,0.0155177,0.382446
