step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00736497,0.000820464,28838,0.00368047,0.0357288,0.00094101,0.440033
100,3.3932,0.00188845,58503,0.0959504,0.483561,0.00198017,0.892685
200,10.1676,0.0123885,59678,0.122172,0.567455,0.00240673,0.910614
300,17.7177,0.0117125,60050,0.143523,0.631082,0.00265701,0.91629
400,24.4422,0.0102861,60157,0.160201,0.764967,0.00283012,0.917923
500,29.3892,0.00339989,60186,0.171759,0.624574,0.00298576,0.918365
600,33.1495,0.0046813,60187,0.180149,0.63364,0.00319644,0.918381
700,36.0043,0.00324386,60153,0.186663,0.644178,0.00353631,0.917862
800,38.0698,0.00399179,60192,0.191998,0.66878,0.00388986,0.918457
900,40.3982,0.00381472,60284,0.196703,0.653487,0.00402537,0.919861
1000,42.8329,0.00601757,60394,0.200799,0.665054,0.00423536,0.921539
1100,44.5352,0.00502584,60446,0.204803,0.662339,0.00430645,0.922333
1200,46.6447,0.011823,60599,0.208497,0.660491,0.00422073,0.924667
1300,48.8877,0.00988874,60666,0.211517,0.665672,0.00421483,0.92569
1400,50.3346,0.0110979,60803,0.214806,0.678814,0.00441041,0.92778
1500,52.5459,0.0102318,60852,0.218102,0.665761,0.00426996,0.928528
1600,54.924,0.0074714,60961,0.220912,0.697634,0.00430691,0.930191
1700,57.4664,0.0103056,61091,0.224709,0.671015,0.00449917,0.932175
1800,59.7214,0.00928876,61157,0.22685,0.673459,0.00461888,0.933182
1900,61.724,0.016702,61309,0.228709,0.706901,0.00466206,0.935501
1999,63.922,0.02095,61382,0.230828,0.676608,0.00495202,0.936615
