step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00734139,0.00210708,28513,0.00367029,0.0445146,0.0066467,0.435074
100,5.97989,0.00255759,59521,0.13034,0.593763,0.00772397,0.908218
200,13.8884,0.00414412,57237,0.162489,0.640059,0.00850423,0.873367
300,19.3653,0.00951878,56907,0.176583,0.777162,0.00941558,0.868332
400,22.9757,0.0122485,56936,0.184416,0.807531,0.010011,0.868774
500,25.3842,0.00870424,57032,0.19086,0.760891,0.0106032,0.870239
600,27.4227,0.00680769,57192,0.196425,0.718513,0.0113606,0.872681
700,29.1579,0.00403354,57311,0.200403,0.718063,0.0119873,0.874496
800,30.7519,0.0014234,57570,0.203572,0.734439,0.0125006,0.878448
900,32.003,0.00321625,57756,0.207309,0.740695,0.0130991,0.881287
1000,33.4813,0.0060518,57916,0.210685,0.811708,0.0136615,0.883728
1100,34.5382,0.00208335,58015,0.213239,0.84623,0.0142185,0.885239
1200,35.9996,0.00364745,58146,0.216904,0.795509,0.0145227,0.887238
1300,37.4648,0.00133271,58371,0.219016,0.881736,0.0148423,0.890671
1400,38.8912,0.00613043,58557,0.221021,0.778333,0.0151286,0.893509
1500,40.6259,0.00447229,58677,0.225252,0.842214,0.0156481,0.89534
1600,42.6,0.0111495,58940,0.227246,0.834983,0.0159479,0.899353
1700,44.165,0.00422797,59035,0.229411,0.821771,0.0161647,0.900803
1800,46.0529,0.00403004,59148,0.231939,0.815505,0.0163039,0.902527
1900,47.3642,0.009099,59299,0.233234,0.828236,0.0164194,0.904831
1999,48.47,0.00868273,59478,0.23479,0.808572,0.0165132,0.907562
