step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00736176,0.000820464,28838,0.00368047,0.0357288,0.00094101,0.440033
100,5.87846,0.00163939,59564,0.129082,0.577803,0.00163929,0.908875
200,13.7211,0.000215372,57253,0.159259,0.778975,0.00266301,0.873611
300,19.0381,0.00351649,56880,0.175291,0.727542,0.00329369,0.86792
400,22.7359,0.0116099,56954,0.184094,0.778868,0.00364239,0.869049
500,25.2864,0.0052118,57108,0.188233,0.80068,0.00375992,0.871399
600,27.2989,0.00515723,57264,0.194425,0.785139,0.00398155,0.873779
700,28.9056,0.00538707,57409,0.19927,0.694462,0.00434298,0.875992
800,30.4335,0.00555807,57547,0.202473,0.754018,0.00474346,0.878098
900,32.1733,0.00510226,57827,0.206058,0.812117,0.00510168,0.88237
1000,33.8224,0.00418596,58011,0.209977,0.788224,0.00566708,0.885178
1100,35.3387,0.00561065,58096,0.212605,0.765785,0.00621688,0.886475
1200,36.2014,0.00341921,58212,0.215328,0.847463,0.00659476,0.888245
1300,37.5668,0.00728807,58378,0.217229,0.778757,0.00654034,0.890778
1400,39.112,0.00286669,58595,0.221152,0.777502,0.006562,0.894089
1500,40.7647,0.00644487,58712,0.224211,0.822751,0.00666534,0.895874
1600,41.8657,0.0035898,58747,0.228319,0.801571,0.00688627,0.896408
1700,43.4263,0.00416706,58915,0.229542,0.841192,0.00699833,0.898972
1800,44.7715,0.00700339,59054,0.230728,0.849526,0.00719186,0.901093
1900,46.3371,0.0103397,59196,0.233034,0.785291,0.00732317,0.903259
1999,48.197,0.00360992,59350,0.235402,0.823151,0.00739703,0.905609
