step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.007311,0.0014644,28351,0.00365509,0.0358632,0.00434797,0.432602
100,5.71657,0.00228487,59440,0.127693,0.656342,0.0050462,0.906982
200,13.2034,0.0012483,57114,0.15862,0.669493,0.0060053,0.87149
300,18.5807,0.0110222,56829,0.173687,0.712197,0.00687956,0.867142
400,22.3331,0.0121738,56893,0.184255,0.718467,0.0075422,0.868118
500,25.0855,0.00390705,57039,0.190059,0.811972,0.00817227,0.870346
600,26.8973,0.00481218,57118,0.195152,0.760091,0.00875727,0.871552
700,28.6147,0.00637266,57306,0.198903,0.802742,0.00916867,0.87442
800,30.6625,0.00837516,57542,0.204613,0.759718,0.00975706,0.878021
900,31.9762,0.012773,57740,0.207283,0.79349,0.0103769,0.881042
1000,33.5547,0.00987881,57855,0.211033,0.774162,0.0107454,0.882797
1100,34.8637,0.00484166,58056,0.213087,0.797203,0.0112434,0.885864
1200,36.1968,0.00864168,58218,0.215515,0.753645,0.0116452,0.888336
1300,37.6305,0.00314885,58419,0.218814,0.779551,0.0123028,0.891403
1400,39.4517,0.00252129,58599,0.221674,0.826159,0.0129112,0.89415
1500,40.9797,0.0037955,58773,0.224078,0.801322,0.0132793,0.896805
1600,42.2922,0.00873915,58836,0.226938,0.795392,0.0137511,0.897766
1700,43.4362,0.0154476,59021,0.230225,0.816532,0.0142259,0.900589
1800,45.0852,0.0111116,59084,0.230503,0.784643,0.0146245,0.90155
1900,46.559,0.0170547,59278,0.232663,0.81059,0.0151136,0.90451
1999,48.5528,0.0161266,59464,0.234636,0.763135,0.0155177,0.907349
