step,residue_coherence,orientation_alignment,corridor_count,proto_corridor_score_mean,proto_corridor_score_max,phase_alignment_mean,corridor_area_fraction
0,0.00279852,0.000820464,13905,0.0027977,0.0357288,0.00094138,0.212173
100,0.907767,0.00278254,51518,0.176698,0.863274,0.00143615,0.786102
200,2.82434,0.00199973,55201,0.238755,0.934977,0.00224881,0.8423
300,4.51039,0.00274063,54835,0.26889,0.986394,0.00295987,0.836716
400,5.80687,0.00563614,54694,0.289479,0.977353,0.00316693,0.834564
500,6.73323,0.00593713,54807,0.301405,1.06275,0.003148,0.836288
600,7.61204,0.00394529,55071,0.313243,1.01521,0.00328992,0.840317
700,8.25921,0.00475373,55286,0.320204,1.07366,0.0035175,0.843597
800,8.80085,0.00431672,55531,0.327141,1.03085,0.0038528,0.847336
900,9.39713,0.00211814,55812,0.334941,1.06685,0.00411377,0.851624
1000,9.99843,0.00505902,56047,0.341519,1.0261,0.00415895,0.855209
1100,10.4177,0.00738929,56185,0.343853,1.04572,0.00416576,0.857315
1200,10.7796,0.004305,56437,0.347292,1.05516,0.00412203,0.86116
1300,11.1567,0.00456904,56581,0.352034,1.09373,0.00394138,0.863358
1400,11.5355,0.00168729,56789,0.355346,1.05753,0.00389014,0.866531
1500,12.0598,0.0125331,56992,0.361634,1.11094,0.00387476,0.869629
1600,12.4265,0.00769814,57145,0.362655,1.10583,0.00381238,0.871964
1700,12.9334,0.00552779,57338,0.3689,1.10987,0.00365822,0.874908
1800,13.2599,0.0093141,57358,0.372439,1.05814,0.00363523,0.875214
1900,13.858,0.00888745,57601,0.377317,1.04938,0.00354797,0.878922
1999,14.4742,0.00754255,57774,0.381203,1.08521,0.00334585,0.881561
