avg_degree,edge_count,order_parameter,step,time
6.04,151,0.13169311199725256,0,0.0
6.44,161,0.13429242769878408,10,0.5
7.16,179,0.13630458831458606,20,1.0
7.4,185,0.13892456957380767,30,1.5
7.56,189,0.14168909757770223,40,2.0
7.68,192,0.14424739058983885,50,2.5
7.92,198,0.14589762537228762,60,3.0
8.2,205,0.14815908795926327,70,3.5
8.8,220,0.15190550190556465,80,4.0
9.24,231,0.15508802195511048,90,4.5
9.56,239,0.15855084977874084,100,5.0
10.08,252,0.16213844719680018,110,5.5
10.36,259,0.1655886323597642,120,6.0
10.48,262,0.1686740071970014,130,6.5
10.56,264,0.17227542276167368,140,7.0
10.76,269,0.17502581528518252,150,7.5
10.88,272,0.17629193019094697,160,8.0
10.84,271,0.17743489857458247,170,8.5
11.0,275,0.17760935882854076,180,9.0
10.8,270,0.17741608473811152,190,9.5
11.0,275,0.17418213627468354,200,10.0
11.16,279,0.16908033621909285,210,10.5
11.16,279,0.1641479955377286,220,11.0
11.36,284,0.15930433935045937,230,11.5
11.36,284,0.15391735609623863,240,12.0
11.72,293,0.14759985965390554,250,12.5
11.48,287,0.1407594017389596,260,13.0
11.44,286,0.13613386497245863,270,13.5
11.44,286,0.136671007517545,280,14.0
11.28,282,0.13994972020784824,290,14.5
11.32,283,0.14261522074396354,300,15.0
11.64,291,0.14234007184978464,310,15.5
11.72,293,0.1409164187048763,320,16.0
11.8,295,0.14038775270014597,330,16.5
12.0,300,0.14046346288972428,340,17.0
12.24,306,0.14104502076301467,350,17.5
12.32,308,0.14317430832947367,360,18.0
12.64,316,0.1464003589370183,370,18.5
12.6,315,0.1507214356326482,380,19.0
12.8,320,0.1568615716161354,390,19.5
12.92,323,0.16551626097327352,400,20.0
12.8,320,0.17496473791363046,410,20.5
12.76,319,0.18060413067298006,420,21.0
13.12,328,0.18512666959042448,430,21.5
13.28,332,0.1896399054815377,440,22.0
13.4,335,0.19483504256598627,450,22.5
13.48,337,0.2016577711775364,460,23.0
13.36,334,0.21126110970094256,470,23.5
13.0,325,0.219538962955385,480,24.0
12.96,324,0.2275218073976347,490,24.5
13.04,326,0.23433588179819803,500,25.0
13.24,331,0.24097050140705803,510,25.5
13.48,337,0.2467689268292369,520,26.0
13.76,344,0.25215243252544844,530,26.5
13.96,349,0.2576352765193489,540,27.0
14.2,355,0.2632953911458575,550,27.5
14.4,360,0.26913184334963314,560,28.0
14.72,368,0.2753311153515986,570,28.5
14.84,371,0.28194287708490573,580,29.0
14.84,371,0.28899919049224754,590,29.5
14.76,369,0.2947394541822096,600,30.0
14.76,369,0.2994346728583222,610,30.5
14.72,368,0.3034530534278628,620,31.0
14.76,369,0.30685935301519496,630,31.5
14.88,372,0.30978457104070134,640,32.0
15.04,376,0.31227508477962773,650,32.5
15.24,381,0.3143712871728193,660,33.0
15.32,383,0.3161262032162435,670,33.5
15.36,384,0.31763567248999564,680,34.0
15.4,385,0.31899256580702623,690,34.5
15.44,386,0.32029061510979306,700,35.0
15.56,389,0.3216078798076987,710,35.5
15.56,389,0.3231737245764903,720,36.0
15.64,391,0.32517573793311977,730,36.5
15.68,392,0.32776208333712625,740,37.0
15.68,392,0.33093305260086536,750,37.5
15.6,390,0.33494670601638643,760,38.0
15.6,390,0.3396636529170819,770,38.5
15.64,391,0.34500482240962843,780,39.0
15.72,393,0.3506853490627752,790,39.5
15.64,391,0.3567485248786872,800,40.0
15.8,395,0.36318923767464306,810,40.5
15.8,395,0.3701464917630684,820,41.0
15.84,396,0.37733397869391094,830,41.5
15.92,398,0.3847186921799032,840,42.0
16.0,400,0.3922817598537286,850,42.5
16.04,401,0.3998898589235454,860,43.0
15.88,397,0.40665602577712423,870,43.5
15.76,394,0.41142855357060787,880,44.0
16.16,404,0.41478601483235,890,44.5
16.36,409,0.41789982067250325,900,45.0
16.88,422,0.4211554137449001,910,45.5
17.24,431,0.42452474026450965,920,46.0
17.52,438,0.428794822448834,930,46.5
17.8,445,0.43407241196095425,940,47.0
18.12,453,0.4409791779247145,950,47.5
18.48,462,0.44936038791910643,960,48.0
18.76,469,0.45941784913446193,970,48.5
19.2,480,0.47207794463400304,980,49.0
19.08,477,0.48746277978692665,990,49.5
