step_index,mean_output,mean_abs_output,output_variance,mean_total_activation,mean_forward_channel,mean_reverse_channel,mean_directional_dominance,mean_channel_coexistence,mean_split_eligibility,mean_admissibility,mean_residue,mean_tension,mean_barrier_scaffold,mean_abs_step_delta,corridor_edge_fraction,coexistence_edge_fraction,barrier_edge_fraction,dual_active_node_fraction,output_interface_count
0,0.000083,0.005178,0.000040,0.020755,0.010419,0.010336,0.286435,0.007788,0.000000,0.550154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1024,0.098009,1.393439,2.055509,1.393439,0.745724,0.647715,1.000000,0.000000,0.000000,0.983660,0.934223,0.000000,0.000000,0.000004,0.937500,0.000000,0.000000,0.000000,8
2048,0.098009,1.394999,2.058309,1.394999,0.746504,0.648495,1.000000,0.000000,0.000000,0.984273,0.935274,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
3072,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
4096,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
5120,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
6144,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
7168,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
8192,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
9216,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
10240,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
11264,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
12288,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
13312,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
14336,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
15360,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
16384,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
17408,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
18432,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
19456,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
20480,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
21504,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
22528,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
23552,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
24576,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
25600,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
26624,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
27648,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
28672,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
29696,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
30720,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
31744,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
32768,0.098009,1.395006,2.058321,1.395006,0.746508,0.648498,1.000000,0.000000,0.000000,0.984277,0.935279,0.000000,0.000000,0.000000,0.937500,0.000000,0.000000,0.000000,8
