step_index,mean_output,mean_abs_output,output_variance,mean_total_activation,mean_forward_channel,mean_reverse_channel,mean_directional_dominance,mean_channel_coexistence,mean_split_eligibility,mean_admissibility,mean_residue,mean_tension,mean_barrier_scaffold,mean_abs_step_delta,corridor_edge_fraction,coexistence_edge_fraction,barrier_edge_fraction,dual_active_node_fraction,output_interface_count
0,0.000236,0.005688,0.000049,0.019027,0.009632,0.009396,0.337166,0.006670,0.000000,0.550916,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1024,-0.000666,1.272418,1.816616,1.272418,0.635876,0.636542,1.000000,0.000000,0.023999,0.967848,0.888103,0.055497,0.037041,0.000005,0.906250,0.000000,0.000000,0.000000,12
2048,-0.001109,1.273880,1.820444,1.273880,0.636385,0.637495,1.000000,0.000000,0.023980,0.968166,0.888491,0.054995,0.036460,0.000000,0.906250,0.000000,0.000000,0.000000,12
3072,-0.001109,1.273882,1.820447,1.273882,0.636386,0.637496,1.000000,0.000000,0.023980,0.968167,0.888493,0.054995,0.036460,0.000000,0.906250,0.000000,0.000000,0.000000,12
4096,-0.001109,1.273882,1.820447,1.273882,0.636386,0.637496,1.000000,0.000000,0.023980,0.968167,0.888493,0.054995,0.036460,0.000000,0.906250,0.000000,0.000000,0.000000,12
5120,-0.001109,1.273882,1.820447,1.273882,0.636386,0.637496,1.000000,0.000000,0.023980,0.968167,0.888493,0.054995,0.036460,0.000000,0.906250,0.000000,0.000000,0.000000,12
6144,-0.001109,1.273882,1.820447,1.273882,0.636386,0.637496,1.000000,0.000000,0.023980,0.968167,0.888493,0.054995,0.036460,0.000000,0.906250,0.000000,0.000000,0.000000,12
7168,-0.001109,1.273882,1.820447,1.273882,0.636386,0.637496,1.000000,0.000000,0.023980,0.968167,0.888493,0.054995,0.036460,0.000000,0.906250,0.000000,0.000000,0.000000,12
8192,-0.001109,1.273882,1.820447,1.273882,0.636386,0.637496,1.000000,0.000000,0.023980,0.968167,0.888493,0.054995,0.036460,0.000000,0.906250,0.000000,0.000000,0.000000,12
9216,-0.001109,1.273882,1.820447,1.273882,0.636386,0.637496,1.000000,0.000000,0.023980,0.968167,0.888493,0.054995,0.036460,0.000000,0.906250,0.000000,0.000000,0.000000,12
10240,-0.001109,1.273882,1.820447,1.273882,0.636386,0.637496,1.000000,0.000000,0.023980,0.968167,0.888493,0.054995,0.036460,0.000000,0.906250,0.000000,0.000000,0.000000,12
11264,-0.001109,1.273882,1.820447,1.273882,0.636386,0.637496,1.000000,0.000000,0.023980,0.968167,0.888493,0.054995,0.036460,0.000000,0.906250,0.000000,0.000000,0.000000,12
12288,-0.001109,1.273882,1.820447,1.273882,0.636386,0.637496,1.000000,0.000000,0.023980,0.968167,0.888493,0.054995,0.036460,0.000000,0.906250,0.000000,0.000000,0.000000,12
13312,-0.001109,1.273882,1.820447,1.273882,0.636386,0.637496,1.000000,0.000000,0.023980,0.968167,0.888493,0.054995,0.036460,0.000000,0.906250,0.000000,0.000000,0.000000,12
14336,-0.001109,1.273882,1.820447,1.273882,0.636386,0.637496,1.000000,0.000000,0.023980,0.968167,0.888493,0.054995,0.036460,0.000000,0.906250,0.000000,0.000000,0.000000,12
15360,-0.001109,1.273882,1.820447,1.273882,0.636386,0.637496,1.000000,0.000000,0.023980,0.968167,0.888493,0.054995,0.036460,0.000000,0.906250,0.000000,0.000000,0.000000,12
