step_index,mean_output,mean_abs_output,output_variance,mean_total_activation,mean_forward_channel,mean_reverse_channel,mean_directional_dominance,mean_channel_coexistence,mean_split_eligibility,mean_admissibility,mean_residue,mean_tension,mean_barrier_scaffold,mean_abs_step_delta,corridor_edge_fraction,coexistence_edge_fraction,barrier_edge_fraction,dual_active_node_fraction,output_interface_count
0,0.000236,0.005688,0.000049,0.019027,0.009632,0.009396,0.337166,0.006670,0.000000,0.550916,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1024,-0.047225,0.551422,0.414197,0.551714,0.252244,0.299470,0.997604,0.000146,0.006652,0.686306,0.656169,0.122437,0.575454,0.000483,0.039062,0.000000,0.906250,0.000000,16
2048,-0.024224,0.539736,0.396794,0.539736,0.257756,0.281980,1.000000,0.000000,0.007768,0.671799,0.645106,0.122461,0.592080,0.000381,0.031250,0.000000,0.953125,0.000000,16
3072,0.008379,0.526586,0.372521,0.526586,0.267483,0.259104,1.000000,0.000000,0.007651,0.661592,0.637864,0.122461,0.591455,0.000417,0.000000,0.000000,0.945312,0.000000,16
4096,0.008967,0.526939,0.367508,0.526939,0.267953,0.258986,1.000000,0.000000,0.006479,0.660835,0.632647,0.121295,0.551800,0.000327,0.000000,0.000000,0.921875,0.000000,16
5120,-0.016331,0.533518,0.377106,0.533518,0.258594,0.274924,1.000000,0.000000,0.006166,0.662704,0.632868,0.120404,0.539302,0.000415,0.007812,0.000000,0.929688,0.000000,16
6144,-0.027183,0.545958,0.402570,0.545958,0.259388,0.286571,1.000000,0.000000,0.007324,0.666574,0.638774,0.119791,0.565020,0.000358,0.023438,0.000000,0.937500,0.000000,16
7168,-0.010854,0.547664,0.410102,0.547664,0.268405,0.279259,1.000000,0.000000,0.008296,0.666488,0.641650,0.120213,0.588288,0.000422,0.015625,0.000000,0.921875,0.000000,16
8192,0.010497,0.532500,0.382401,0.532500,0.271498,0.261002,1.000000,0.000000,0.007637,0.662493,0.637785,0.121427,0.583597,0.000397,0.007812,0.000000,0.937500,0.000000,16
9216,0.007176,0.526696,0.366928,0.526696,0.266936,0.259760,1.000000,0.000000,0.006637,0.661495,0.633166,0.121429,0.553754,0.000404,0.007812,0.000000,0.937500,0.000000,16
10240,-0.007676,0.537314,0.382681,0.537314,0.264819,0.272495,1.000000,0.000000,0.006362,0.665612,0.634160,0.119972,0.542089,0.000361,0.007812,0.000000,0.906250,0.000000,16
11264,-0.019983,0.550483,0.409265,0.550483,0.265250,0.285233,1.000000,0.000000,0.007201,0.667825,0.638545,0.118907,0.553387,0.000339,0.023438,0.000000,0.882812,0.000000,16
12288,-0.012451,0.545386,0.404298,0.545386,0.266468,0.278918,1.000000,0.000000,0.007842,0.666145,0.640706,0.120132,0.580488,0.000441,0.015625,0.000000,0.921875,0.000000,16
13312,0.003924,0.536475,0.388594,0.536475,0.270200,0.266276,1.000000,0.000000,0.007489,0.663156,0.638015,0.120931,0.577307,0.000350,0.015625,0.000000,0.937500,0.000000,16
14336,0.003108,0.530392,0.374875,0.530392,0.266750,0.263642,1.000000,0.000000,0.006704,0.660799,0.633393,0.121003,0.552820,0.000394,0.007812,0.000000,0.906250,0.000000,16
15360,-0.010295,0.526368,0.368006,0.526368,0.258036,0.268332,1.000000,0.000000,0.006285,0.659937,0.632856,0.121429,0.550094,0.000393,0.000000,0.000000,0.929688,0.000000,16
16384,-0.013310,0.533927,0.383100,0.533927,0.260309,0.273618,1.000000,0.000000,0.007019,0.662739,0.636454,0.121125,0.566408,0.000370,0.015625,0.000000,0.945312,0.000000,16
17408,-0.006747,0.542667,0.396901,0.542667,0.267960,0.274707,1.000000,0.000000,0.007532,0.665661,0.638102,0.120164,0.569113,0.000377,0.015625,0.000000,0.953125,0.000000,16
18432,-0.008656,0.539157,0.390280,0.539157,0.265251,0.273906,1.000000,0.000000,0.007101,0.664546,0.636748,0.120135,0.559321,0.000377,0.015625,0.000000,0.921875,0.000000,16
19456,-0.014973,0.533662,0.381586,0.533662,0.259345,0.274318,1.000000,0.000000,0.006955,0.663798,0.636203,0.120837,0.564591,0.000397,0.015625,0.000000,0.945312,0.000000,16
20480,-0.010883,0.532664,0.380883,0.532664,0.260891,0.271773,1.000000,0.000000,0.007140,0.663675,0.636892,0.121238,0.568303,0.000405,0.007812,0.000000,0.914062,0.000000,16
21504,-0.000385,0.530289,0.377357,0.530289,0.264952,0.265337,1.000000,0.000000,0.007171,0.663487,0.636914,0.121549,0.576439,0.000407,0.015625,0.000000,0.945312,0.000000,16
22528,-0.001316,0.533560,0.381305,0.533560,0.266122,0.267438,1.000000,0.000000,0.007098,0.664033,0.637053,0.121143,0.570702,0.000372,0.007812,0.000000,0.937500,0.000000,16
23552,-0.010285,0.546741,0.401371,0.546741,0.268228,0.278513,1.000000,0.000000,0.007246,0.666758,0.637722,0.119403,0.560126,0.000417,0.015625,0.000000,0.921875,0.000000,16
