step_index,mean_output,mean_abs_output,output_variance,mean_total_activation,mean_forward_channel,mean_reverse_channel,mean_directional_dominance,mean_channel_coexistence,mean_split_eligibility,mean_admissibility,mean_residue,mean_tension,mean_barrier_scaffold,mean_abs_step_delta,corridor_edge_fraction,coexistence_edge_fraction,barrier_edge_fraction,dual_active_node_fraction,output_interface_count
0,0.001113,0.006816,0.000070,0.020934,0.011024,0.009911,0.380618,0.007059,0.000000,0.551998,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1024,0.133262,0.949950,1.140159,0.949950,0.541606,0.408344,1.000000,0.000000,0.004624,0.866421,0.816110,0.043584,0.332958,0.000652,0.390625,0.000000,0.531250,0.000000,10
2048,0.157674,1.009139,1.240129,1.009587,0.583631,0.425957,0.997368,0.000224,0.005207,0.876957,0.825049,0.038858,0.299270,0.000536,0.406250,0.000000,0.531250,0.000000,10
3072,0.164875,0.979850,1.210941,0.979850,0.572362,0.407487,1.000000,0.000000,0.006346,0.861849,0.819694,0.043220,0.350463,0.000530,0.390625,0.000000,0.570312,0.000000,10
4096,0.141471,0.983172,1.189590,0.983172,0.562321,0.420850,1.000000,0.000000,0.005211,0.869199,0.816344,0.040805,0.306829,0.000552,0.367188,0.000000,0.546875,0.000000,10
5120,0.164389,1.010246,1.252869,1.010246,0.587318,0.422928,1.000000,0.000000,0.005884,0.868893,0.822534,0.039940,0.316482,0.000543,0.414062,0.000000,0.539062,0.000000,10
6144,0.149750,0.964799,1.172940,0.964799,0.557275,0.407525,1.000000,0.000000,0.004771,0.862447,0.812980,0.042359,0.321177,0.000510,0.367188,0.000000,0.554688,0.000000,10
7168,0.154244,0.999381,1.231130,0.999381,0.576813,0.422568,1.000000,0.000000,0.005485,0.869110,0.821246,0.040910,0.314643,0.000509,0.406250,0.000000,0.531250,0.000000,10
8192,0.166822,0.979077,1.204084,0.979077,0.572950,0.406128,1.000000,0.000000,0.006006,0.863307,0.818314,0.042961,0.343262,0.000539,0.406250,0.000000,0.554688,0.000000,10
9216,0.140683,1.004497,1.238512,1.004497,0.572590,0.431907,1.000000,0.000000,0.005560,0.871437,0.820650,0.040018,0.306275,0.000520,0.414062,0.000000,0.531250,0.000000,10
