step_index,mean_output,mean_abs_output,output_variance,mean_total_activation,mean_forward_channel,mean_reverse_channel,mean_directional_dominance,mean_channel_coexistence,mean_split_eligibility,mean_admissibility,mean_residue,mean_tension,mean_barrier_scaffold,mean_abs_step_delta,corridor_edge_fraction,coexistence_edge_fraction,barrier_edge_fraction,dual_active_node_fraction,output_interface_count
0,0.000236,0.005688,0.000049,0.019027,0.009632,0.009396,0.337166,0.006670,0.000000,0.550916,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1024,-0.000893,1.267030,1.806224,1.267030,0.633069,0.633962,1.000000,0.000000,0.025113,0.967137,0.886361,0.058729,0.039740,0.000005,0.906250,0.000000,0.000000,0.000000,12
2048,-0.001165,1.268477,1.809767,1.268477,0.633656,0.634821,1.000000,0.000000,0.025101,0.967527,0.887151,0.058446,0.039291,0.000000,0.906250,0.000000,0.000000,0.000000,12
3072,-0.001165,1.268481,1.809774,1.268481,0.633658,0.634823,1.000000,0.000000,0.025101,0.967529,0.887155,0.058446,0.039290,0.000000,0.906250,0.000000,0.000000,0.000000,12
4096,-0.001165,1.268481,1.809774,1.268481,0.633658,0.634823,1.000000,0.000000,0.025101,0.967529,0.887155,0.058446,0.039290,0.000000,0.906250,0.000000,0.000000,0.000000,12
5120,-0.001165,1.268481,1.809774,1.268481,0.633658,0.634823,1.000000,0.000000,0.025101,0.967529,0.887155,0.058446,0.039290,0.000000,0.906250,0.000000,0.000000,0.000000,12
6144,-0.001165,1.268481,1.809774,1.268481,0.633658,0.634823,1.000000,0.000000,0.025101,0.967529,0.887155,0.058446,0.039290,0.000000,0.906250,0.000000,0.000000,0.000000,12
7168,-0.001165,1.268481,1.809774,1.268481,0.633658,0.634823,1.000000,0.000000,0.025101,0.967529,0.887155,0.058446,0.039290,0.000000,0.906250,0.000000,0.000000,0.000000,12
8192,-0.001165,1.268481,1.809774,1.268481,0.633658,0.634823,1.000000,0.000000,0.025101,0.967529,0.887155,0.058446,0.039290,0.000000,0.906250,0.000000,0.000000,0.000000,12
9216,-0.001165,1.268481,1.809774,1.268481,0.633658,0.634823,1.000000,0.000000,0.025101,0.967529,0.887155,0.058446,0.039290,0.000000,0.906250,0.000000,0.000000,0.000000,12
10240,-0.001165,1.268481,1.809774,1.268481,0.633658,0.634823,1.000000,0.000000,0.025101,0.967529,0.887155,0.058446,0.039290,0.000000,0.906250,0.000000,0.000000,0.000000,12
