step_index,mean_output,mean_abs_output,output_variance,mean_total_activation,mean_forward_channel,mean_reverse_channel,mean_directional_dominance,mean_channel_coexistence,mean_split_eligibility,mean_admissibility,mean_residue,mean_tension,mean_barrier_scaffold,mean_abs_step_delta,corridor_edge_fraction,coexistence_edge_fraction,barrier_edge_fraction,dual_active_node_fraction,output_interface_count
0,-0.000296,0.005850,0.000056,0.021703,0.010703,0.010999,0.321453,0.007926,0.000000,0.549187,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1024,-0.042894,0.726836,0.715509,0.726836,0.341971,0.384865,1.000000,0.000000,0.006394,0.800395,0.734967,0.056508,0.449876,0.000741,0.164062,0.000000,0.757812,0.000000,14
2048,-0.055558,0.768672,0.775727,0.768672,0.356557,0.412115,1.000000,0.000000,0.007462,0.811629,0.739870,0.053523,0.427600,0.000824,0.164062,0.000000,0.750000,0.000000,14
3072,-0.030780,0.762032,0.775949,0.762032,0.365626,0.396406,1.000000,0.000000,0.007199,0.806605,0.740558,0.054682,0.441003,0.000813,0.210938,0.000000,0.742188,0.000000,14
4096,-0.047754,0.723194,0.710690,0.723194,0.337720,0.385474,1.000000,0.000000,0.007314,0.798071,0.734481,0.057793,0.468578,0.000808,0.140625,0.000000,0.789062,0.000000,14
5120,-0.059586,0.756563,0.740154,0.756563,0.348489,0.408074,1.000000,0.000000,0.006668,0.810571,0.735787,0.052860,0.410137,0.000769,0.148438,0.000000,0.742188,0.000000,14
6144,-0.036472,0.756063,0.765393,0.756063,0.359795,0.396267,1.000000,0.000000,0.007243,0.804917,0.740480,0.056155,0.452732,0.000787,0.179688,0.000000,0.750000,0.000000,14
7168,-0.072623,0.751014,0.762134,0.751014,0.339195,0.411818,1.000000,0.000000,0.007286,0.800968,0.736532,0.055008,0.445126,0.000722,0.195312,0.000000,0.734375,0.000000,14
8192,-0.024245,0.740319,0.726534,0.740319,0.358037,0.382282,1.000000,0.000000,0.006152,0.805827,0.732323,0.054252,0.420778,0.000748,0.156250,0.000000,0.750000,0.000000,14
9216,-0.041375,0.772247,0.785254,0.772247,0.365436,0.406811,1.000000,0.000000,0.007908,0.811180,0.744285,0.054440,0.443806,0.000774,0.171875,0.000000,0.742188,0.000000,14
10240,-0.048334,0.733121,0.734345,0.733121,0.342393,0.390727,1.000000,0.000000,0.007024,0.797445,0.735057,0.056738,0.456912,0.000704,0.164062,0.000000,0.773438,0.000000,14
11264,-0.049807,0.748485,0.737601,0.748485,0.349339,0.399146,1.000000,0.000000,0.006789,0.805547,0.733800,0.054451,0.425893,0.000744,0.164062,0.000000,0.765625,0.000000,14
12288,-0.045227,0.753883,0.750666,0.753883,0.354328,0.399555,1.000000,0.000000,0.007505,0.806692,0.740110,0.055127,0.444029,0.000840,0.148438,0.000000,0.750000,0.000000,14
13312,-0.062492,0.753563,0.766381,0.753563,0.345536,0.408028,1.000000,0.000000,0.007206,0.802716,0.737634,0.054925,0.443670,0.000739,0.203125,0.000000,0.750000,0.000000,14
14336,-0.035839,0.750233,0.749925,0.750233,0.357197,0.393036,1.000000,0.000000,0.006272,0.805965,0.733228,0.053903,0.418415,0.000739,0.187500,0.000000,0.742188,0.000000,14
15360,-0.041111,0.761747,0.770508,0.761747,0.360318,0.401429,1.000000,0.000000,0.008304,0.808497,0.743622,0.055619,0.460576,0.000917,0.179688,0.000000,0.750000,0.000000,14
16384,-0.045069,0.737640,0.730527,0.737640,0.346286,0.391354,1.000000,0.000000,0.006327,0.801484,0.733842,0.054969,0.434508,0.000727,0.164062,0.000000,0.757812,0.000000,14
17408,-0.044274,0.742031,0.730519,0.742031,0.348879,0.393153,1.000000,0.000000,0.007244,0.805091,0.736613,0.056157,0.447794,0.000776,0.156250,0.000000,0.796875,0.000000,14
18432,-0.057451,0.767407,0.774305,0.767407,0.354978,0.412429,1.000000,0.000000,0.007422,0.808829,0.740990,0.054381,0.433854,0.000808,0.195312,0.000000,0.718750,0.000000,14
19456,-0.049761,0.731029,0.729121,0.731029,0.340634,0.390395,1.000000,0.000000,0.006414,0.797306,0.733529,0.056217,0.447641,0.000644,0.187500,0.000000,0.765625,0.000000,14
20480,-0.047487,0.762764,0.763880,0.762764,0.357639,0.405126,1.000000,0.000000,0.007155,0.810799,0.737611,0.053132,0.421170,0.000772,0.148438,0.000000,0.734375,0.000000,14
21504,-0.025757,0.756721,0.762753,0.756721,0.365482,0.391239,1.000000,0.000000,0.006915,0.806999,0.738968,0.054823,0.437542,0.000760,0.195312,0.000000,0.742188,0.000000,14
22528,-0.063104,0.751233,0.761861,0.751233,0.344065,0.407168,1.000000,0.000000,0.007824,0.801958,0.740364,0.056188,0.462747,0.000695,0.179688,0.000000,0.765625,0.000000,14
23552,-0.034512,0.730578,0.708497,0.730578,0.348033,0.382545,1.000000,0.000000,0.006391,0.802748,0.731156,0.055155,0.430804,0.000721,0.156250,0.000000,0.757812,0.000000,14
24576,-0.063641,0.765620,0.767796,0.765620,0.350990,0.414631,1.000000,0.000000,0.007620,0.808953,0.740952,0.054529,0.438403,0.000799,0.171875,0.000000,0.781250,0.000000,14
25600,-0.051338,0.750885,0.762761,0.750885,0.349774,0.401111,1.000000,0.000000,0.006895,0.801950,0.736965,0.054870,0.441954,0.000763,0.187500,0.000000,0.734375,0.000000,14
26624,-0.040341,0.751832,0.757338,0.751832,0.355745,0.396086,1.000000,0.000000,0.006993,0.805158,0.735566,0.054688,0.435563,0.000785,0.187500,0.000000,0.757812,0.000000,14
27648,-0.038088,0.750876,0.744610,0.750876,0.356394,0.394482,1.000000,0.000000,0.007143,0.807553,0.738215,0.054810,0.440005,0.000813,0.187500,0.000000,0.773438,0.000000,14
28672,-0.042579,0.748240,0.750128,0.748240,0.352831,0.395409,1.000000,0.000000,0.007310,0.803458,0.739300,0.055890,0.451809,0.000772,0.156250,0.000000,0.796875,0.000000,14
29696,-0.047426,0.749524,0.748703,0.749524,0.351049,0.398475,1.000000,0.000000,0.006871,0.804584,0.734662,0.054797,0.433261,0.000731,0.179688,0.000000,0.742188,0.000000,14
30720,-0.050712,0.738624,0.726824,0.738624,0.343956,0.394668,1.000000,0.000000,0.007366,0.802085,0.737472,0.056766,0.458312,0.000779,0.148438,0.000000,0.820312,0.000000,14
31744,-0.057843,0.759570,0.763428,0.759570,0.350863,0.408707,1.000000,0.000000,0.006598,0.807215,0.737255,0.053373,0.421942,0.000715,0.187500,0.000000,0.726562,0.000000,14
32768,-0.032501,0.751351,0.761647,0.751351,0.359425,0.391926,1.000000,0.000000,0.006810,0.804656,0.736052,0.054597,0.433283,0.000601,0.179688,0.000000,0.757812,0.000000,14
