"anchor_label","focus","seed","drive","steps","regime","mean_output","mean_abs_output","mean_total_activation","mean_forward_channel","mean_reverse_channel","mean_directional_dominance","mean_channel_coexistence","mean_split_eligibility","mean_admissibility","mean_residue","mean_tension","mean_barrier_scaffold","corridor_edge_fraction","coexistence_edge_fraction","barrier_edge_fraction","dual_active_node_fraction","output_interface_count"
"quiet_reference","quiet_reference","20501","0.08","32768","directional_corridor_candidate","0.098009","1.395006","1.395006","0.746508","0.648498","1","0","0","0.984277","0.935279","0","0","0.9375","0","0","0","8"
"quiet_reference","quiet_reference","20502","0.08","32768","directional_corridor_candidate","-0.366403","1.312023","1.312023","0.47281","0.839213","1","0","0","0.976415","0.902918","0","0","0.90625","0","0","0","12"
"quiet_reference","quiet_reference","20503","0.08","32768","directional_corridor_candidate","0.294053","1.360585","1.360585","0.827319","0.533266","1","0","0","0.978977","0.913668","0","0","0.921875","0","0","0","10"
"quiet_reference","quiet_reference","20504","0.08","32768","directional_corridor_candidate","0.221523","1.312682","1.312682","0.767103","0.545579","1","0","0","0.976415","0.902918","0","0","0.90625","0","0","0","12"
"quiet_reference","quiet_reference","20505","0.08","32768","directional_corridor_candidate","0.146721","1.269125","1.269125","0.707923","0.561202","1","0","0","0.972485","0.886738","0","0","0.890625","0","0","0","14"
"quiet_reference","quiet_reference","20506","0.08","32768","directional_corridor_candidate","-0.088457","1.344307","1.357506","0.634525","0.722982","0.992862","0.006599","0","0.982002","0.924121","0","0","0.929688","0","0","0.007812","10"
"quiet_reference","quiet_reference","20507","0.08","32768","directional_corridor_candidate","-0.661493","1.39732","1.39732","0.367913","1.029406","1","0","0","0.984277","0.935279","0","0","0.9375","0","0","0","8"
"quiet_reference","quiet_reference","20508","0.08","32768","directional_corridor_candidate","0.416842","1.313181","1.313181","0.865011","0.448169","1","0","0","0.976415","0.902918","0","0","0.90625","0","0","0","12"
"first_precursor","first_precursor","20501","0.1","32768","directional_corridor_candidate","0.098151","1.398934","1.398934","0.748542","0.650392","1","0","0","0.98435","0.936004","0","0","0.9375","0","0","0","8"
"first_precursor","first_precursor","20502","0.1","32768","directional_corridor_candidate","-0.366956","1.316709","1.316709","0.474877","0.841833","1","0","0","0.976525","0.904005","0","0","0.90625","0","0","0","12"
"first_precursor","first_precursor","20503","0.1","32768","directional_corridor_candidate","0.307209","1.353089","1.36713","0.837169","0.529961","0.992449","0.007021","0","0.980752","0.919687","0","0","0.929688","0","0","0.007812","10"
"first_precursor","first_precursor","20504","0.1","32768","directional_corridor_candidate","0.295432","1.317366","1.317366","0.806399","0.510967","1","0","0","0.976525","0.904005","0","0","0.90625","0","0","0","12"
"first_precursor","first_precursor","20505","0.1","32768","directional_corridor_candidate","0.147482","1.274217","1.274217","0.71085","0.563368","1","0","0","0.972613","0.888006","0","0","0.890625","0","0","0","14"
