step_index,mean_output,mean_abs_output,output_variance,mean_total_activation,mean_forward_channel,mean_reverse_channel,mean_directional_dominance,mean_channel_coexistence,mean_split_eligibility,mean_admissibility,mean_residue,mean_tension,mean_barrier_scaffold,mean_abs_step_delta,corridor_edge_fraction,coexistence_edge_fraction,barrier_edge_fraction,dual_active_node_fraction,output_interface_count
0,0.000534,0.005412,0.000051,0.021622,0.011078,0.010544,0.292272,0.008105,0.000000,0.549095,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1024,0.307482,1.351801,1.892180,1.365560,0.836521,0.529039,0.992597,0.006879,0.000001,0.979996,0.918446,0.000007,0.000011,0.000005,0.929688,0.000000,0.000000,0.007812,10
2048,0.307213,1.353084,1.894950,1.367122,0.837167,0.529955,0.992451,0.007019,0.000000,0.980746,0.919680,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
3072,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
4096,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
5120,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
6144,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
7168,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
8192,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
9216,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
10240,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
11264,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
12288,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
13312,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
14336,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
15360,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
16384,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
17408,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
18432,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
19456,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
20480,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
21504,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
22528,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
23552,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
24576,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
25600,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
26624,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
27648,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
28672,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
29696,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
30720,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
31744,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
32768,0.307209,1.353089,1.894965,1.367130,0.837169,0.529961,0.992449,0.007021,0.000000,0.980752,0.919687,0.000000,0.000000,0.000000,0.929688,0.000000,0.000000,0.007812,10
