step_index,mean_output,mean_abs_output,output_variance,mean_total_activation,mean_forward_channel,mean_reverse_channel,mean_directional_dominance,mean_channel_coexistence,mean_split_eligibility,mean_admissibility,mean_residue,mean_tension,mean_barrier_scaffold,mean_abs_step_delta,corridor_edge_fraction,coexistence_edge_fraction,barrier_edge_fraction,dual_active_node_fraction,output_interface_count
0,0.000066,0.005780,0.000048,0.020448,0.010257,0.010191,0.331153,0.007334,0.000000,0.548211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1024,0.257049,1.312802,1.827719,1.327278,0.792164,0.535115,0.992256,0.007238,0.000002,0.977677,0.910127,0.000015,0.000020,0.000004,0.914062,0.000000,0.000000,0.007812,13
2048,0.257061,1.314144,1.830106,1.328593,0.792827,0.535766,0.992271,0.007224,0.000000,0.978385,0.911083,0.000000,0.000000,0.000000,0.914062,0.000000,0.000000,0.007812,13
3072,0.257061,1.314149,1.830114,1.328597,0.792829,0.535768,0.992271,0.007224,0.000000,0.978389,0.911086,0.000000,0.000000,0.000000,0.914062,0.000000,0.000000,0.007812,13
4096,0.257061,1.314149,1.830114,1.328597,0.792829,0.535768,0.992271,0.007224,0.000000,0.978389,0.911086,0.000000,0.000000,0.000000,0.914062,0.000000,0.000000,0.007812,13
5120,0.257061,1.314149,1.830114,1.328597,0.792829,0.535768,0.992271,0.007224,0.000000,0.978389,0.911086,0.000000,0.000000,0.000000,0.914062,0.000000,0.000000,0.007812,13
6144,0.257061,1.314149,1.830114,1.328597,0.792829,0.535768,0.992271,0.007224,0.000000,0.978389,0.911086,0.000000,0.000000,0.000000,0.914062,0.000000,0.000000,0.007812,13
7168,0.257061,1.314149,1.830114,1.328597,0.792829,0.535768,0.992271,0.007224,0.000000,0.978389,0.911086,0.000000,0.000000,0.000000,0.914062,0.000000,0.000000,0.007812,13
8192,0.257061,1.314149,1.830114,1.328597,0.792829,0.535768,0.992271,0.007224,0.000000,0.978389,0.911086,0.000000,0.000000,0.000000,0.914062,0.000000,0.000000,0.007812,13
9216,0.257061,1.314149,1.830114,1.328597,0.792829,0.535768,0.992271,0.007224,0.000000,0.978389,0.911086,0.000000,0.000000,0.000000,0.914062,0.000000,0.000000,0.007812,13
10240,0.257061,1.314149,1.830114,1.328597,0.792829,0.535768,0.992271,0.007224,0.000000,0.978389,0.911086,0.000000,0.000000,0.000000,0.914062,0.000000,0.000000,0.007812,13
