step_index,mean_output,mean_abs_output,output_variance,mean_total_activation,mean_forward_channel,mean_reverse_channel,mean_directional_dominance,mean_channel_coexistence,mean_split_eligibility,mean_admissibility,mean_residue,mean_tension,mean_barrier_scaffold,mean_abs_step_delta,corridor_edge_fraction,coexistence_edge_fraction,barrier_edge_fraction,dual_active_node_fraction,output_interface_count
0,0.000663,0.005175,0.000042,0.020568,0.010615,0.009952,0.288619,0.007697,0.000000,0.547754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1024,0.641471,1.235313,1.319570,1.235313,0.938392,0.296921,1.000000,0.000000,0.031835,0.966293,0.884693,0.077727,0.054167,0.000005,0.812500,0.000000,0.000000,0.000000,12
2048,0.641727,1.236775,1.322553,1.236775,0.939251,0.297524,1.000000,0.000000,0.031769,0.967220,0.885737,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
3072,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
4096,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
5120,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
6144,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
7168,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
8192,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
9216,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
10240,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
11264,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
12288,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
13312,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
14336,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
15360,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
16384,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
17408,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
18432,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
19456,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
20480,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
21504,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
22528,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
23552,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
24576,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
25600,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
26624,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
27648,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
28672,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
29696,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
30720,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
31744,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
32768,0.641728,1.236782,1.322568,1.236782,0.939255,0.297527,1.000000,0.000000,0.031769,0.967226,0.885744,0.077512,0.053973,0.000000,0.812500,0.000000,0.000000,0.000000,12
