step_index,mean_output,mean_abs_output,output_variance,mean_total_activation,mean_forward_channel,mean_reverse_channel,mean_directional_dominance,mean_channel_coexistence,mean_split_eligibility,mean_admissibility,mean_residue,mean_tension,mean_barrier_scaffold,mean_abs_step_delta,corridor_edge_fraction,coexistence_edge_fraction,barrier_edge_fraction,dual_active_node_fraction,output_interface_count
0,-0.000296,0.005850,0.000056,0.021703,0.010703,0.010999,0.321453,0.007926,0.000000,0.549187,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1024,-0.149063,1.252297,1.743331,1.252297,0.551617,0.700680,1.000000,0.000000,0.027555,0.969248,0.891760,0.064838,0.044045,0.000003,0.906250,0.000000,0.000000,0.000000,12
2048,-0.149145,1.253392,1.745572,1.253392,0.552124,0.701269,1.000000,0.000000,0.027565,0.969640,0.892691,0.064698,0.043868,0.000000,0.906250,0.000000,0.000000,0.000000,12
3072,-0.149145,1.253397,1.745581,1.253397,0.552126,0.701271,1.000000,0.000000,0.027565,0.969643,0.892696,0.064697,0.043868,0.000000,0.906250,0.000000,0.000000,0.000000,12
4096,-0.149145,1.253397,1.745581,1.253397,0.552126,0.701271,1.000000,0.000000,0.027565,0.969643,0.892696,0.064697,0.043868,0.000000,0.906250,0.000000,0.000000,0.000000,12
5120,-0.149145,1.253397,1.745581,1.253397,0.552126,0.701271,1.000000,0.000000,0.027565,0.969643,0.892696,0.064697,0.043868,0.000000,0.906250,0.000000,0.000000,0.000000,12
6144,-0.149145,1.253397,1.745581,1.253397,0.552126,0.701271,1.000000,0.000000,0.027565,0.969643,0.892696,0.064697,0.043868,0.000000,0.906250,0.000000,0.000000,0.000000,12
7168,-0.149145,1.253397,1.745581,1.253397,0.552126,0.701271,1.000000,0.000000,0.027565,0.969643,0.892696,0.064697,0.043868,0.000000,0.906250,0.000000,0.000000,0.000000,12
8192,-0.149145,1.253397,1.745581,1.253397,0.552126,0.701271,1.000000,0.000000,0.027565,0.969643,0.892696,0.064697,0.043868,0.000000,0.906250,0.000000,0.000000,0.000000,12
9216,-0.149145,1.253397,1.745581,1.253397,0.552126,0.701271,1.000000,0.000000,0.027565,0.969643,0.892696,0.064697,0.043868,0.000000,0.906250,0.000000,0.000000,0.000000,12
