"anchor_label","variant","drive","seeds_tested","mean_directional_dominance","mean_channel_coexistence","mean_split_eligibility","mean_tension","mean_barrier_scaffold","mean_corridor_edge_fraction","mean_coexistence_edge_fraction","mean_barrier_edge_fraction","delta_corridor_vs_full","delta_coexistence_vs_full","delta_barrier_vs_full"
"corridor_interior","full","0.2","8","0.999184","0.000757875","0","0","0","0.899414","0","0","0","0","0"
"corridor_interior","eligibility_off","0.2","8","0.999184","0.000757875","0","0","0","0.899414","0","0","0","0","0"
"corridor_interior","scaffold_off","0.2","8","0.999184","0.000757875","0","0","0","0.899414","0","0","0","0","0"
"split_onset","full","0.23","8","0.999032625","0.000602","0.026672124999999998","0.063109125","0.042951875","0.9072266250000001","0","0.001953125","0","0","0"
"split_onset","eligibility_off","0.23","8","0.99821775","0.001672125","0","0","0","0.9062499999999999","0","0","-0.0009766250000001753","0","-0.001953125"
"split_onset","scaffold_off","0.23","8","1","0","0.07435449999999999","0.1847025","0","0.908203125","0","0.265624875","0.0009764999999999358","0","0.26367175"
"split_center","full","0.24","8","1","0","0.030215250000000003","0.073574125","0.051123999999999996","0.8203125","0","0","0","0","0"
"split_center","eligibility_off","0.24","8","0.998213","0.0016785","0","0","0","0.9062499999999999","0","0","0.08593749999999989","0","0"
"split_center","scaffold_off","0.24","8","1","0","0.09019925","0.23411037499999998","0","0.91015625","0","0.260742125","0.08984375","0","0.260742125"
"barrier_lock","full","0.25","8","1","0","0.007159375000000001","0.059498875","0.47380887499999996","0.127929625","0","0.796875125","0","0","0"
"barrier_lock","eligibility_off","0.25","8","1","0","0","0.005475","0.08759225000000001","0.708984375","0","0.19824225","0.5810547500000001","0","-0.5986328750000001"
"barrier_lock","scaffold_off","0.25","8","1","0","0.096291375","0.2598335","0","0.92578125","0","0.29101575","0.7978516250000001","0","-0.505859375"
