"variant","anchor_label","seed","drive","regime","mean_directional_dominance","mean_channel_coexistence","mean_split_eligibility","mean_tension","mean_barrier_scaffold","corridor_edge_fraction","coexistence_edge_fraction","barrier_edge_fraction","dual_active_node_fraction"
"full","corridor_interior","20401","0.2","directional_corridor_candidate","1","0","0","0","0","0.875","0","0","0"
"full","corridor_interior","20402","0.2","directional_corridor_candidate","1","0","0","0","0","0.90625","0","0","0"
"full","corridor_interior","20403","0.2","directional_corridor_candidate","1","0","0","0","0","0.9375","0","0","0"
"full","corridor_interior","20404","0.2","directional_corridor_candidate","1","0","0","0","0","0.90625","0","0","0"
"full","corridor_interior","20405","0.2","directional_corridor_candidate","1","0","0","0","0","0.90625","0","0","0"
"full","corridor_interior","20406","0.2","directional_corridor_candidate","1","0","0","0","0","0.90625","0","0","0"
"full","corridor_interior","20407","0.2","directional_corridor_candidate","1","0","0","0","0","0.875","0","0","0"
"full","corridor_interior","20408","0.2","directional_corridor_candidate","0.993472","0.006063","0","0","0","0.882812","0","0","0.007812"
"eligibility_off","corridor_interior","20401","0.2","directional_corridor_candidate","1","0","0","0","0","0.875","0","0","0"
"eligibility_off","corridor_interior","20402","0.2","directional_corridor_candidate","1","0","0","0","0","0.90625","0","0","0"
"eligibility_off","corridor_interior","20403","0.2","directional_corridor_candidate","1","0","0","0","0","0.9375","0","0","0"
"eligibility_off","corridor_interior","20404","0.2","directional_corridor_candidate","1","0","0","0","0","0.90625","0","0","0"
"eligibility_off","corridor_interior","20405","0.2","directional_corridor_candidate","1","0","0","0","0","0.90625","0","0","0"
"eligibility_off","corridor_interior","20406","0.2","directional_corridor_candidate","1","0","0","0","0","0.90625","0","0","0"
"eligibility_off","corridor_interior","20407","0.2","directional_corridor_candidate","1","0","0","0","0","0.875","0","0","0"
"eligibility_off","corridor_interior","20408","0.2","directional_corridor_candidate","0.993472","0.006063","0","0","0","0.882812","0","0","0.007812"
"scaffold_off","corridor_interior","20401","0.2","directional_corridor_candidate","1","0","0","0","0","0.875","0","0","0"
"scaffold_off","corridor_interior","20402","0.2","directional_corridor_candidate","1","0","0","0","0","0.90625","0","0","0"
"scaffold_off","corridor_interior","20403","0.2","directional_corridor_candidate","1","0","0","0","0","0.9375","0","0","0"
"scaffold_off","corridor_interior","20404","0.2","directional_corridor_candidate","1","0","0","0","0","0.90625","0","0","0"
"scaffold_off","corridor_interior","20405","0.2","directional_corridor_candidate","1","0","0","0","0","0.90625","0","0","0"
"scaffold_off","corridor_interior","20406","0.2","directional_corridor_candidate","1","0","0","0","0","0.90625","0","0","0"
"scaffold_off","corridor_interior","20407","0.2","directional_corridor_candidate","1","0","0","0","0","0.875","0","0","0"
"scaffold_off","corridor_interior","20408","0.2","directional_corridor_candidate","0.993472","0.006063","0","0","0","0.882812","0","0","0.007812"
"full","split_onset","20401","0.23","split_coexistence_candidate","1","0","0.025101","0.058446","0.03929","0.90625","0","0","0"
"full","split_onset","20402","0.23","split_coexistence_candidate","0.992261","0.004816","0.030896","0.078077","0.055387","0.898438","0","0.015625","0.007812"
"full","split_onset","20403","0.23","split_coexistence_candidate","1","0","0.018353","0.043174","0.029359","0.9375","0","0","0"
"full","split_onset","20404","0.23","split_coexistence_candidate","1","0","0.027588","0.064649","0.043763","0.90625","0","0","0"
"full","split_onset","20405","0.23","split_coexistence_candidate","1","0","0.022939","0.053988","0.036749","0.921875","0","0","0"
"full","split_onset","20406","0.23","split_coexistence_candidate","1","0","0.027565","0.064697","0.043868","0.90625","0","0","0"
"full","split_onset","20407","0.23","split_coexistence_candidate","1","0","0.029252","0.067906","0.045426","0.890625","0","0","0"
"full","split_onset","20408","0.23","split_coexistence_candidate","1","0","0.031683","0.073936","0.049773","0.890625","0","0","0"
"eligibility_off","split_onset","20401","0.23","directional_corridor_candidate","1","0","0","0","0","0.890625","0","0","0"
"eligibility_off","split_onset","20402","0.23","directional_corridor_candidate","0.992379","0.007186","0","0","0","0.914062","0","0","0.007812"
"eligibility_off","split_onset","20403","0.23","directional_corridor_candidate","1","0","0","0","0","0.9375","0","0","0"
"eligibility_off","split_onset","20404","0.23","directional_corridor_candidate","1","0","0","0","0","0.90625","0","0","0"
"eligibility_off","split_onset","20405","0.23","directional_corridor_candidate","1","0","0","0","0","0.90625","0","0","0"
"eligibility_off","split_onset","20406","0.23","directional_corridor_candidate","1","0","0","0","0","0.921875","0","0","0"
"eligibility_off","split_onset","20407","0.23","directional_corridor_candidate","1","0","0","0","0","0.875","0","0","0"
"eligibility_off","split_onset","20408","0.23","directional_corridor_candidate","0.993363","0.006191","0","0","0","0.898438","0","0","0.007812"
"scaffold_off","split_onset","20401","0.23","directional_corridor_candidate","1","0","0.070263","0.173222","0","0.90625","0","0.25","0"
"scaffold_off","split_onset","20402","0.23","directional_corridor_candidate","1","0","0.078359","0.195129","0","0.90625","0","0.28125","0"
"scaffold_off","split_onset","20403","0.23","directional_corridor_candidate","1","0","0.052257","0.130342","0","0.9375","0","0.1875","0"
"scaffold_off","split_onset","20404","0.23","directional_corridor_candidate","1","0","0.078384","0.195179","0","0.90625","0","0.28125","0"
"scaffold_off","split_onset","20405","0.23","directional_corridor_candidate","1","0","0.065322","0.162971","0","0.921875","0","0.234375","0"
"scaffold_off","split_onset","20406","0.23","directional_corridor_candidate","1","0","0.078388","0.195318","0","0.90625","0","0.28125","0"
"scaffold_off","split_onset","20407","0.23","directional_corridor_candidate","1","0","0.081937","0.201855","0","0.890625","0","0.289062","0"
"scaffold_off","split_onset","20408","0.23","directional_corridor_candidate","1","0","0.089926","0.223604","0","0.890625","0","0.320312","0"
"full","split_center","20401","0.24","split_coexistence_candidate","1","0","0.028947","0.070057","0.048429","0.828125","0","0","0"
