step_index,mean_output,mean_abs_output,output_variance,mean_total_activation,mean_forward_channel,mean_reverse_channel,mean_directional_dominance,mean_channel_coexistence,mean_split_eligibility,mean_admissibility,mean_residue,mean_tension,mean_barrier_scaffold,mean_abs_step_delta,corridor_edge_fraction,coexistence_edge_fraction,barrier_edge_fraction,dual_active_node_fraction,output_interface_count
0,0.000801,0.005655,0.000048,0.020300,0.010550,0.009750,0.316557,0.007323,0.000000,0.550365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1024,0.307522,1.102302,1.365232,1.102302,0.704912,0.397390,1.000000,0.000000,0.000000,0.920269,0.825169,0.006929,0.115161,0.000004,0.625000,0.000000,0.281250,0.000000,16
2048,0.307649,1.103423,1.368480,1.103423,0.705536,0.397887,1.000000,0.000000,0.000000,0.922270,0.825038,0.006832,0.113737,0.000000,0.625000,0.000000,0.273438,0.000000,16
3072,0.307649,1.103423,1.368481,1.103423,0.705536,0.397887,1.000000,0.000000,0.000000,0.922277,0.825038,0.006832,0.113736,0.000000,0.625000,0.000000,0.273438,0.000000,16
4096,0.307649,1.103423,1.368481,1.103423,0.705536,0.397887,1.000000,0.000000,0.000000,0.922277,0.825038,0.006832,0.113736,0.000000,0.625000,0.000000,0.273438,0.000000,16
5120,0.307649,1.103423,1.368481,1.103423,0.705536,0.397887,1.000000,0.000000,0.000000,0.922277,0.825038,0.006832,0.113736,0.000000,0.625000,0.000000,0.273438,0.000000,16
6144,0.307649,1.103423,1.368481,1.103423,0.705536,0.397887,1.000000,0.000000,0.000000,0.922277,0.825038,0.006832,0.113736,0.000000,0.625000,0.000000,0.273438,0.000000,16
7168,0.307649,1.103423,1.368481,1.103423,0.705536,0.397887,1.000000,0.000000,0.000000,0.922277,0.825038,0.006832,0.113736,0.000000,0.625000,0.000000,0.273438,0.000000,16
8192,0.307649,1.103423,1.368481,1.103423,0.705536,0.397887,1.000000,0.000000,0.000000,0.922277,0.825038,0.006832,0.113736,0.000000,0.625000,0.000000,0.273438,0.000000,16
9216,0.307649,1.103423,1.368481,1.103423,0.705536,0.397887,1.000000,0.000000,0.000000,0.922277,0.825038,0.006832,0.113736,0.000000,0.625000,0.000000,0.273438,0.000000,16
