step_index,mean_output,mean_abs_output,output_variance,mean_total_activation,mean_forward_channel,mean_reverse_channel,mean_directional_dominance,mean_channel_coexistence,mean_split_eligibility,mean_admissibility,mean_residue,mean_tension,mean_barrier_scaffold,mean_abs_step_delta,corridor_edge_fraction,coexistence_edge_fraction,barrier_edge_fraction,dual_active_node_fraction,output_interface_count
0,0.000236,0.005688,0.000049,0.019027,0.009632,0.009396,0.337166,0.006670,0.000000,0.550916,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1024,-0.023411,1.264865,1.781820,1.264865,0.620727,0.644138,1.000000,0.000000,0.000000,0.967320,0.872603,0.000000,0.000000,0.000003,0.875000,0.000000,0.000000,0.000000,16
2048,-0.023417,1.265986,1.783784,1.265986,0.621285,0.644701,1.000000,0.000000,0.000000,0.968135,0.873576,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
3072,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
4096,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
5120,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
6144,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
7168,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
8192,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
9216,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
10240,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
11264,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
12288,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
13312,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
14336,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
15360,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
16384,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
17408,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
18432,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
19456,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
20480,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
21504,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
22528,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
23552,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
24576,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
25600,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
26624,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
27648,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
28672,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
29696,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
30720,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
31744,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
32768,-0.023417,1.265990,1.783791,1.265990,0.621287,0.644704,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
