step_index,mean_output,mean_abs_output,output_variance,mean_total_activation,mean_forward_channel,mean_reverse_channel,mean_directional_dominance,mean_channel_coexistence,mean_split_eligibility,mean_admissibility,mean_residue,mean_tension,mean_barrier_scaffold,mean_abs_step_delta,corridor_edge_fraction,coexistence_edge_fraction,barrier_edge_fraction,dual_active_node_fraction,output_interface_count
0,0.000663,0.005175,0.000042,0.020568,0.010615,0.009952,0.288619,0.007697,0.000000,0.547754,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1024,0.643632,1.345514,1.545198,1.345514,0.994573,0.350941,1.000000,0.000000,0.000000,0.976714,0.910141,0.000000,0.000000,0.000002,0.906250,0.000000,0.000000,0.000000,12
2048,0.643636,1.346186,1.546427,1.346186,0.994911,0.351275,1.000000,0.000000,0.000000,0.977197,0.910681,0.000000,0.000000,0.000000,0.906250,0.000000,0.000000,0.000000,12
3072,0.643636,1.346188,1.546431,1.346188,0.994912,0.351276,1.000000,0.000000,0.000000,0.977200,0.910683,0.000000,0.000000,0.000000,0.906250,0.000000,0.000000,0.000000,12
4096,0.643636,1.346188,1.546431,1.346188,0.994912,0.351276,1.000000,0.000000,0.000000,0.977200,0.910683,0.000000,0.000000,0.000000,0.906250,0.000000,0.000000,0.000000,12
5120,0.643636,1.346188,1.546431,1.346188,0.994912,0.351276,1.000000,0.000000,0.000000,0.977200,0.910683,0.000000,0.000000,0.000000,0.906250,0.000000,0.000000,0.000000,12
6144,0.643636,1.346188,1.546431,1.346188,0.994912,0.351276,1.000000,0.000000,0.000000,0.977200,0.910683,0.000000,0.000000,0.000000,0.906250,0.000000,0.000000,0.000000,12
7168,0.643636,1.346188,1.546431,1.346188,0.994912,0.351276,1.000000,0.000000,0.000000,0.977200,0.910683,0.000000,0.000000,0.000000,0.906250,0.000000,0.000000,0.000000,12
8192,0.643636,1.346188,1.546431,1.346188,0.994912,0.351276,1.000000,0.000000,0.000000,0.977200,0.910683,0.000000,0.000000,0.000000,0.906250,0.000000,0.000000,0.000000,12
9216,0.643636,1.346188,1.546431,1.346188,0.994912,0.351276,1.000000,0.000000,0.000000,0.977200,0.910683,0.000000,0.000000,0.000000,0.906250,0.000000,0.000000,0.000000,12
10240,0.643636,1.346188,1.546431,1.346188,0.994912,0.351276,1.000000,0.000000,0.000000,0.977200,0.910683,0.000000,0.000000,0.000000,0.906250,0.000000,0.000000,0.000000,12
11264,0.643636,1.346188,1.546431,1.346188,0.994912,0.351276,1.000000,0.000000,0.000000,0.977200,0.910683,0.000000,0.000000,0.000000,0.906250,0.000000,0.000000,0.000000,12
12288,0.643636,1.346188,1.546431,1.346188,0.994912,0.351276,1.000000,0.000000,0.000000,0.977200,0.910683,0.000000,0.000000,0.000000,0.906250,0.000000,0.000000,0.000000,12
13312,0.643636,1.346188,1.546431,1.346188,0.994912,0.351276,1.000000,0.000000,0.000000,0.977200,0.910683,0.000000,0.000000,0.000000,0.906250,0.000000,0.000000,0.000000,12
14336,0.643636,1.346188,1.546431,1.346188,0.994912,0.351276,1.000000,0.000000,0.000000,0.977200,0.910683,0.000000,0.000000,0.000000,0.906250,0.000000,0.000000,0.000000,12
