step_index,mean_output,mean_abs_output,output_variance,mean_total_activation,mean_forward_channel,mean_reverse_channel,mean_directional_dominance,mean_channel_coexistence,mean_split_eligibility,mean_admissibility,mean_residue,mean_tension,mean_barrier_scaffold,mean_abs_step_delta,corridor_edge_fraction,coexistence_edge_fraction,barrier_edge_fraction,dual_active_node_fraction,output_interface_count
0,0.000801,0.005655,0.000048,0.020300,0.010550,0.009750,0.316557,0.007323,0.000000,0.550365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1024,0.209613,1.295532,1.806003,1.307711,0.758662,0.549049,0.993465,0.006090,0.000000,0.974371,0.899658,0.000000,0.000000,0.000003,0.898438,0.000000,0.000000,0.007812,14
2048,0.209448,1.296154,1.807430,1.308532,0.758990,0.549542,0.993365,0.006189,0.000000,0.975001,0.900311,0.000000,0.000000,0.000000,0.898438,0.000000,0.000000,0.007812,14
3072,0.209444,1.296152,1.807434,1.308535,0.758989,0.549545,0.993363,0.006191,0.000000,0.975004,0.900313,0.000000,0.000000,0.000000,0.898438,0.000000,0.000000,0.007812,14
4096,0.209444,1.296152,1.807434,1.308535,0.758989,0.549545,0.993363,0.006191,0.000000,0.975004,0.900313,0.000000,0.000000,0.000000,0.898438,0.000000,0.000000,0.007812,14
5120,0.209444,1.296152,1.807434,1.308535,0.758989,0.549545,0.993363,0.006191,0.000000,0.975004,0.900313,0.000000,0.000000,0.000000,0.898438,0.000000,0.000000,0.007812,14
6144,0.209444,1.296152,1.807434,1.308535,0.758989,0.549545,0.993363,0.006191,0.000000,0.975004,0.900313,0.000000,0.000000,0.000000,0.898438,0.000000,0.000000,0.007812,14
7168,0.209444,1.296152,1.807434,1.308535,0.758989,0.549545,0.993363,0.006191,0.000000,0.975004,0.900313,0.000000,0.000000,0.000000,0.898438,0.000000,0.000000,0.007812,14
8192,0.209444,1.296152,1.807434,1.308535,0.758989,0.549545,0.993363,0.006191,0.000000,0.975004,0.900313,0.000000,0.000000,0.000000,0.898438,0.000000,0.000000,0.007812,14
9216,0.209444,1.296152,1.807434,1.308535,0.758989,0.549545,0.993363,0.006191,0.000000,0.975004,0.900313,0.000000,0.000000,0.000000,0.898438,0.000000,0.000000,0.007812,14
10240,0.209444,1.296152,1.807434,1.308535,0.758989,0.549545,0.993363,0.006191,0.000000,0.975004,0.900313,0.000000,0.000000,0.000000,0.898438,0.000000,0.000000,0.007812,14
11264,0.209444,1.296152,1.807434,1.308535,0.758989,0.549545,0.993363,0.006191,0.000000,0.975004,0.900313,0.000000,0.000000,0.000000,0.898438,0.000000,0.000000,0.007812,14
12288,0.209444,1.296152,1.807434,1.308535,0.758989,0.549545,0.993363,0.006191,0.000000,0.975004,0.900313,0.000000,0.000000,0.000000,0.898438,0.000000,0.000000,0.007812,14
13312,0.209444,1.296152,1.807434,1.308535,0.758989,0.549545,0.993363,0.006191,0.000000,0.975004,0.900313,0.000000,0.000000,0.000000,0.898438,0.000000,0.000000,0.007812,14
