step_index,mean_output,mean_abs_output,output_variance,mean_total_activation,mean_forward_channel,mean_reverse_channel,mean_directional_dominance,mean_channel_coexistence,mean_split_eligibility,mean_admissibility,mean_residue,mean_tension,mean_barrier_scaffold,mean_abs_step_delta,corridor_edge_fraction,coexistence_edge_fraction,barrier_edge_fraction,dual_active_node_fraction,output_interface_count
0,0.000236,0.005688,0.000049,0.019027,0.009632,0.009396,0.337166,0.006670,0.000000,0.550916,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1024,-0.044264,0.644097,0.555737,0.644097,0.299917,0.344180,1.000000,0.000000,0.006753,0.778360,0.695906,0.059794,0.475895,0.000750,0.117188,0.000000,0.765625,0.000000,16
2048,-0.054074,0.667148,0.575802,0.667148,0.306537,0.360611,1.000000,0.000000,0.006798,0.789193,0.699486,0.057068,0.452584,0.000812,0.117188,0.000000,0.796875,0.000000,16
3072,-0.051861,0.712137,0.675310,0.712137,0.330138,0.381999,1.000000,0.000000,0.007801,0.791767,0.706886,0.054386,0.448284,0.000769,0.156250,0.000000,0.718750,0.000000,16
4096,-0.057024,0.636205,0.556580,0.636205,0.289590,0.346614,1.000000,0.000000,0.008113,0.773766,0.696352,0.061834,0.513347,0.000769,0.093750,0.000000,0.820312,0.000000,16
5120,-0.017104,0.661389,0.556192,0.661389,0.322142,0.339246,1.000000,0.000000,0.006598,0.790124,0.696451,0.056899,0.441129,0.000800,0.109375,0.000000,0.804688,0.000000,16
6144,-0.054461,0.689257,0.631864,0.689257,0.317398,0.371859,1.000000,0.000000,0.007696,0.788247,0.706079,0.057026,0.472566,0.000737,0.125000,0.000000,0.781250,0.000000,16
7168,-0.044268,0.657596,0.590118,0.657596,0.306664,0.350932,1.000000,0.000000,0.007887,0.779028,0.697940,0.059694,0.490316,0.000705,0.140625,0.000000,0.757812,0.000000,16
8192,-0.042747,0.642517,0.536280,0.642517,0.299885,0.342632,1.000000,0.000000,0.005817,0.782713,0.693197,0.058436,0.453649,0.000681,0.109375,0.000000,0.804688,0.000000,16
9216,-0.042980,0.701115,0.650437,0.701115,0.329068,0.372047,1.000000,0.000000,0.007524,0.790918,0.705808,0.055235,0.452720,0.000653,0.117188,0.000000,0.789062,0.000000,16
10240,-0.059421,0.648849,0.578022,0.648849,0.294714,0.354135,1.000000,0.000000,0.007798,0.776118,0.697153,0.060261,0.499655,0.000745,0.132812,0.000000,0.789062,0.000000,16
11264,-0.025530,0.653717,0.549637,0.653717,0.314093,0.339624,1.000000,0.000000,0.006703,0.785557,0.695204,0.057671,0.454081,0.000775,0.093750,0.000000,0.820312,0.000000,16
12288,-0.048979,0.689816,0.626099,0.689816,0.320418,0.369397,1.000000,0.000000,0.007305,0.789357,0.704193,0.056003,0.454016,0.000780,0.117188,0.000000,0.789062,0.000000,16
13312,-0.049718,0.674143,0.616779,0.674143,0.312213,0.361931,1.000000,0.000000,0.008135,0.781724,0.700971,0.058242,0.482981,0.000727,0.140625,0.000000,0.765625,0.000000,16
14336,-0.053901,0.647705,0.546107,0.647705,0.296902,0.350803,1.000000,0.000000,0.005774,0.781621,0.691557,0.057347,0.441818,0.000696,0.109375,0.000000,0.781250,0.000000,16
15360,-0.047781,0.707482,0.660938,0.707482,0.329851,0.377632,1.000000,0.000000,0.008136,0.792185,0.707935,0.055308,0.456155,0.000737,0.117188,0.000000,0.773438,0.000000,16
16384,-0.061982,0.660862,0.595480,0.660862,0.299440,0.361422,1.000000,0.000000,0.007514,0.779082,0.697432,0.058541,0.480662,0.000703,0.132812,0.000000,0.750000,0.000000,16
17408,-0.035791,0.646648,0.544384,0.646648,0.305429,0.341220,1.000000,0.000000,0.007495,0.784000,0.697379,0.059758,0.480537,0.000774,0.093750,0.000000,0.804688,0.000000,16
18432,-0.037808,0.703125,0.646697,0.703125,0.332659,0.370467,1.000000,0.000000,0.007481,0.792287,0.704547,0.054664,0.440363,0.000737,0.125000,0.000000,0.765625,0.000000,16
19456,-0.064972,0.654259,0.586888,0.654259,0.294643,0.359615,1.000000,0.000000,0.008060,0.777734,0.699848,0.060369,0.504081,0.000743,0.125000,0.000000,0.781250,0.000000,16
20480,-0.026083,0.660757,0.570338,0.660757,0.317337,0.343420,1.000000,0.000000,0.006806,0.785854,0.695330,0.057632,0.454338,0.000777,0.125000,0.000000,0.781250,0.000000,16
21504,-0.057031,0.684904,0.621581,0.684904,0.313936,0.370967,1.000000,0.000000,0.007059,0.787373,0.702732,0.055911,0.450890,0.000728,0.117188,0.000000,0.835938,0.000000,16
22528,-0.049133,0.661803,0.599387,0.661803,0.306335,0.355468,1.000000,0.000000,0.008379,0.780258,0.700370,0.060039,0.505592,0.000812,0.148438,0.000000,0.789062,0.000000,16
23552,-0.028309,0.641450,0.532115,0.641450,0.306571,0.334880,1.000000,0.000000,0.006364,0.783358,0.693441,0.058560,0.460280,0.000777,0.093750,0.000000,0.804688,0.000000,16
24576,-0.047110,0.685886,0.618177,0.685886,0.319388,0.366498,1.000000,0.000000,0.007596,0.788475,0.704627,0.057091,0.462983,0.000799,0.117188,0.000000,0.828125,0.000000,16
25600,-0.045393,0.671437,0.611016,0.671437,0.313022,0.358415,1.000000,0.000000,0.007494,0.782708,0.699934,0.057785,0.474778,0.000680,0.156250,0.000000,0.742188,0.000000,16
26624,-0.049302,0.644881,0.543990,0.644881,0.297790,0.347092,1.000000,0.000000,0.006113,0.780951,0.692821,0.058487,0.455755,0.000688,0.117188,0.000000,0.789062,0.000000,16
27648,-0.045685,0.704970,0.655167,0.704970,0.329642,0.375327,1.000000,0.000000,0.007706,0.791352,0.705804,0.054841,0.442711,0.000714,0.117188,0.000000,0.789062,0.000000,16
28672,-0.064490,0.658494,0.586814,0.658494,0.297002,0.361492,1.000000,0.000000,0.007030,0.778991,0.696839,0.058092,0.472466,0.000659,0.140625,0.000000,0.789062,0.000000,16
29696,-0.034617,0.651270,0.555492,0.651270,0.308327,0.342943,1.000000,0.000000,0.007771,0.784149,0.698051,0.059824,0.485887,0.000740,0.093750,0.000000,0.820312,0.000000,16
30720,-0.048801,0.697378,0.632838,0.697378,0.324288,0.373089,1.000000,0.000000,0.007060,0.790668,0.702507,0.054360,0.429281,0.000760,0.117188,0.000000,0.781250,0.000000,16
31744,-0.064527,0.659675,0.594145,0.659675,0.297574,0.362101,1.000000,0.000000,0.008174,0.779674,0.701029,0.060206,0.504470,0.000707,0.132812,0.000000,0.773438,0.000000,16
32768,-0.026305,0.674708,0.595047,0.674708,0.324201,0.350507,1.000000,0.000000,0.007013,0.787792,0.697293,0.056324,0.446251,0.000740,0.109375,0.000000,0.765625,0.000000,16
