step_index,mean_output,mean_abs_output,output_variance,mean_total_activation,mean_forward_channel,mean_reverse_channel,mean_directional_dominance,mean_channel_coexistence,mean_split_eligibility,mean_admissibility,mean_residue,mean_tension,mean_barrier_scaffold,mean_abs_step_delta,corridor_edge_fraction,coexistence_edge_fraction,barrier_edge_fraction,dual_active_node_fraction,output_interface_count
0,-0.000442,0.006214,0.000059,0.021054,0.010306,0.010748,0.316699,0.007420,0.000000,0.551153,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1024,-0.443440,1.267534,1.593872,1.267534,0.412047,0.855487,1.000000,0.000000,0.000001,0.967288,0.872625,0.000005,0.000007,0.000003,0.875000,0.000000,0.000000,0.000000,16
2048,-0.443462,1.268622,1.595750,1.268622,0.412580,0.856042,1.000000,0.000000,0.000000,0.968135,0.873576,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
3072,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
4096,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
5120,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
6144,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
7168,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
8192,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
9216,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
10240,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
11264,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
12288,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
13312,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
14336,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
15360,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
16384,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
17408,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
18432,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
19456,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
20480,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
21504,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
22528,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
23552,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
24576,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
25600,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
26624,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
27648,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
28672,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
29696,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
30720,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
31744,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
32768,-0.443462,1.268626,1.595756,1.268626,0.412582,0.856044,1.000000,0.000000,0.000000,0.968140,0.873580,0.000000,0.000000,0.000000,0.875000,0.000000,0.000000,0.000000,16
