step_index,mean_output,mean_abs_output,output_variance,mean_total_activation,mean_forward_channel,mean_reverse_channel,mean_directional_dominance,mean_channel_coexistence,mean_split_eligibility,mean_admissibility,mean_residue,mean_tension,mean_barrier_scaffold,mean_abs_step_delta,corridor_edge_fraction,coexistence_edge_fraction,barrier_edge_fraction,dual_active_node_fraction,output_interface_count
0,0.000272,0.005270,0.000042,0.020867,0.010569,0.010298,0.289262,0.007798,0.000000,0.550226,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1024,0.229286,1.236125,1.680970,1.236125,0.732705,0.503420,1.000000,0.000000,0.031753,0.966149,0.884697,0.077547,0.054037,0.000005,0.812500,0.000000,0.000000,0.000000,12
2048,0.229345,1.237575,1.684224,1.237575,0.733460,0.504115,1.000000,0.000000,0.031691,0.967146,0.885738,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
3072,0.229345,1.237582,1.684240,1.237582,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
4096,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
5120,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
6144,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
7168,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
8192,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
9216,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
10240,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
11264,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
12288,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
13312,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
14336,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
15360,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
16384,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
17408,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
18432,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
19456,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
20480,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
21504,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
22528,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
23552,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
24576,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
25600,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
26624,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
27648,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
28672,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
29696,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
30720,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
31744,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
32768,0.229345,1.237583,1.684240,1.237583,0.733464,0.504119,1.000000,0.000000,0.031690,0.967153,0.885745,0.077340,0.053840,0.000000,0.812500,0.000000,0.000000,0.000000,12
