step_index,mean_output,mean_abs_output,output_variance,mean_total_activation,mean_forward_channel,mean_reverse_channel,mean_directional_dominance,mean_channel_coexistence,mean_split_eligibility,mean_admissibility,mean_residue,mean_tension,mean_barrier_scaffold,mean_abs_step_delta,corridor_edge_fraction,coexistence_edge_fraction,barrier_edge_fraction,dual_active_node_fraction,output_interface_count
0,0.000483,0.006405,0.000058,0.020189,0.010336,0.009853,0.350502,0.006892,0.000000,0.549562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1024,0.073407,1.302780,1.869313,1.302780,0.688093,0.614687,1.000000,0.000000,0.022952,0.974776,0.909773,0.054309,0.037233,0.000005,0.921875,0.000000,0.000000,0.000000,10
2048,0.073867,1.304292,1.872966,1.304292,0.689079,0.615212,1.000000,0.000000,0.022939,0.975153,0.910579,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
3072,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975155,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
4096,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
5120,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
6144,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
7168,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
8192,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
9216,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
10240,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
11264,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
12288,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
13312,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
14336,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
15360,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
16384,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
17408,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
18432,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
19456,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
20480,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
21504,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
22528,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
23552,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
24576,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
25600,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
26624,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
27648,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
28672,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
29696,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
30720,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
31744,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
32768,0.073867,1.304296,1.872975,1.304296,0.689081,0.615215,1.000000,0.000000,0.022939,0.975156,0.910584,0.053988,0.036749,0.000000,0.921875,0.000000,0.000000,0.000000,10
