step_index,mean_output,mean_abs_output,output_variance,mean_total_activation,mean_forward_channel,mean_reverse_channel,mean_directional_dominance,mean_channel_coexistence,mean_split_eligibility,mean_admissibility,mean_residue,mean_tension,mean_barrier_scaffold,mean_abs_step_delta,corridor_edge_fraction,coexistence_edge_fraction,barrier_edge_fraction,dual_active_node_fraction,output_interface_count
0,0.000272,0.005270,0.000042,0.020867,0.010569,0.010298,0.289262,0.007798,0.000000,0.550226,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1024,0.190552,1.245159,1.724495,1.245159,0.717855,0.527304,1.000000,0.000000,0.128031,0.911928,0.884938,0.283778,0.000000,0.000150,0.906250,0.000000,0.281250,0.000000,12
2048,0.128984,1.268956,1.775010,1.268956,0.698970,0.569986,1.000000,0.000000,0.081286,0.930886,0.895578,0.232830,0.000000,0.000316,0.921875,0.000000,0.304688,0.000000,10
3072,0.128765,1.227836,1.724527,1.227836,0.678300,0.549536,1.000000,0.000000,0.104222,0.858988,0.882952,0.282045,0.000000,0.000144,0.921875,0.000000,0.304688,0.000000,10
4096,0.126656,1.282835,1.834946,1.282835,0.704746,0.578090,1.000000,0.000000,0.114704,0.910360,0.901886,0.261341,0.000000,0.000161,0.921875,0.000000,0.234375,0.000000,10
5120,0.128513,1.296477,1.836989,1.296477,0.712495,0.583982,1.000000,0.000000,0.085678,0.950099,0.902319,0.217237,0.000000,0.000211,0.921875,0.000000,0.304688,0.000000,10
6144,0.129700,1.224849,1.710458,1.224849,0.677274,0.547575,1.000000,0.000000,0.099208,0.862669,0.881996,0.271805,0.000000,0.000147,0.921875,0.000000,0.304688,0.000000,10
7168,0.126458,1.266563,1.805850,1.266563,0.696510,0.570052,1.000000,0.000000,0.115862,0.889853,0.896566,0.275730,0.000000,0.000179,0.921875,0.000000,0.234375,0.000000,10
8192,0.126928,1.304579,1.862040,1.304579,0.715753,0.588825,1.000000,0.000000,0.095676,0.946015,0.906405,0.215844,0.000000,0.000113,0.921875,0.000000,0.304688,0.000000,10
9216,0.131247,1.230793,1.711366,1.230793,0.681020,0.549773,1.000000,0.000000,0.094262,0.877034,0.884515,0.261379,0.000000,0.000158,0.921875,0.000000,0.304688,0.000000,10
10240,0.126936,1.250541,1.775281,1.250541,0.688738,0.561803,1.000000,0.000000,0.114139,0.872851,0.890848,0.282008,0.000000,0.000167,0.921875,0.000000,0.234375,0.000000,10
