step_index,mean_output,mean_abs_output,output_variance,mean_total_activation,mean_forward_channel,mean_reverse_channel,mean_directional_dominance,mean_channel_coexistence,mean_split_eligibility,mean_admissibility,mean_residue,mean_tension,mean_barrier_scaffold,mean_abs_step_delta,corridor_edge_fraction,coexistence_edge_fraction,barrier_edge_fraction,dual_active_node_fraction,output_interface_count
0,0.000272,0.005270,0.000042,0.020867,0.010569,0.010298,0.289262,0.007798,0.000000,0.550226,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1024,0.199660,1.337484,1.901187,1.337484,0.768572,0.568912,1.000000,0.000000,0.000001,0.976434,0.908257,0.000005,0.000000,0.000002,0.906250,0.000000,0.000000,0.000000,12
2048,0.199648,1.338321,1.902716,1.338321,0.768984,0.569336,1.000000,0.000000,0.000000,0.977018,0.908911,0.000000,0.000000,0.000000,0.906250,0.000000,0.000000,0.000000,12
3072,0.199648,1.338323,1.902721,1.338323,0.768986,0.569338,1.000000,0.000000,0.000000,0.977021,0.908913,0.000000,0.000000,0.000000,0.906250,0.000000,0.000000,0.000000,12
4096,0.199648,1.338323,1.902721,1.338323,0.768986,0.569338,1.000000,0.000000,0.000000,0.977021,0.908913,0.000000,0.000000,0.000000,0.906250,0.000000,0.000000,0.000000,12
5120,0.199648,1.338323,1.902721,1.338323,0.768986,0.569338,1.000000,0.000000,0.000000,0.977021,0.908913,0.000000,0.000000,0.000000,0.906250,0.000000,0.000000,0.000000,12
6144,0.199648,1.338323,1.902721,1.338323,0.768986,0.569338,1.000000,0.000000,0.000000,0.977021,0.908913,0.000000,0.000000,0.000000,0.906250,0.000000,0.000000,0.000000,12
7168,0.199648,1.338323,1.902721,1.338323,0.768986,0.569338,1.000000,0.000000,0.000000,0.977021,0.908913,0.000000,0.000000,0.000000,0.906250,0.000000,0.000000,0.000000,12
8192,0.199648,1.338323,1.902721,1.338323,0.768986,0.569338,1.000000,0.000000,0.000000,0.977021,0.908913,0.000000,0.000000,0.000000,0.906250,0.000000,0.000000,0.000000,12
9216,0.199648,1.338323,1.902721,1.338323,0.768986,0.569338,1.000000,0.000000,0.000000,0.977021,0.908913,0.000000,0.000000,0.000000,0.906250,0.000000,0.000000,0.000000,12
10240,0.199648,1.338323,1.902721,1.338323,0.768986,0.569338,1.000000,0.000000,0.000000,0.977021,0.908913,0.000000,0.000000,0.000000,0.906250,0.000000,0.000000,0.000000,12
11264,0.199648,1.338323,1.902721,1.338323,0.768986,0.569338,1.000000,0.000000,0.000000,0.977021,0.908913,0.000000,0.000000,0.000000,0.906250,0.000000,0.000000,0.000000,12
