step_index,mean_output,mean_abs_output,output_variance,mean_total_activation,mean_forward_channel,mean_reverse_channel,mean_directional_dominance,mean_channel_coexistence,mean_split_eligibility,mean_admissibility,mean_residue,mean_tension,mean_barrier_scaffold,mean_abs_step_delta,corridor_edge_fraction,coexistence_edge_fraction,barrier_edge_fraction,dual_active_node_fraction,output_interface_count
0,0.000483,0.006405,0.000058,0.020189,0.010336,0.009853,0.350502,0.006892,0.000000,0.549562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1024,0.072863,1.301753,1.864215,1.301753,0.687308,0.614445,1.000000,0.000000,0.081858,0.950697,0.906687,0.200704,0.000000,0.000056,0.921875,0.000000,0.234375,0.000000,10
2048,0.073749,1.265561,1.795845,1.265561,0.669655,0.595906,1.000000,0.000000,0.085472,0.910566,0.895666,0.230729,0.000000,0.000041,0.921875,0.000000,0.234375,0.000000,10
3072,0.073848,1.293139,1.854432,1.293139,0.683493,0.609645,1.000000,0.000000,0.087307,0.937282,0.904847,0.217240,0.000000,0.000044,0.921875,0.000000,0.234375,0.000000,10
4096,0.073921,1.278531,1.815742,1.278531,0.676226,0.602305,1.000000,0.000000,0.080985,0.931558,0.899130,0.216895,0.000000,0.000075,0.921875,0.000000,0.234375,0.000000,10
5120,0.073732,1.276912,1.822359,1.276912,0.675322,0.601590,1.000000,0.000000,0.088551,0.918477,0.899708,0.229560,0.000000,0.000059,0.921875,0.000000,0.234375,0.000000,10
6144,0.073975,1.295379,1.853892,1.295379,0.684677,0.610702,1.000000,0.000000,0.083077,0.945077,0.904594,0.210445,0.000000,0.000036,0.921875,0.000000,0.234375,0.000000,10
7168,0.073763,1.269058,1.801076,1.269058,0.671410,0.597647,1.000000,0.000000,0.084275,0.916203,0.896843,0.228179,0.000000,0.000032,0.921875,0.000000,0.234375,0.000000,10
8192,0.073849,1.289717,1.848002,1.289717,0.681783,0.607934,1.000000,0.000000,0.087925,0.933204,0.903684,0.220707,0.000000,0.000051,0.921875,0.000000,0.234375,0.000000,10
9216,0.073918,1.283373,1.825624,1.283373,0.678645,0.604727,1.000000,0.000000,0.080924,0.936902,0.900548,0.214302,0.000000,0.000076,0.921875,0.000000,0.234375,0.000000,10
10240,0.073761,1.273617,1.814810,1.273617,0.673689,0.599928,1.000000,0.000000,0.087897,0.915891,0.898614,0.230641,0.000000,0.000052,0.921875,0.000000,0.234375,0.000000,10
11264,0.073910,1.295669,1.856092,1.295669,0.684790,0.610879,1.000000,0.000000,0.084358,0.943548,0.905043,0.211698,0.000000,0.000031,0.921875,0.000000,0.234375,0.000000,10
12288,0.073791,1.270472,1.802310,1.270472,0.672131,0.598340,1.000000,0.000000,0.083068,0.919543,0.897129,0.225295,0.000000,0.000039,0.921875,0.000000,0.234375,0.000000,10
13312,0.073842,1.286118,1.841236,1.286118,0.679980,0.606138,1.000000,0.000000,0.088505,0.928516,0.902600,0.223810,0.000000,0.000059,0.921875,0.000000,0.234375,0.000000,10
14336,0.073912,1.288227,1.836057,1.288227,0.681069,0.607158,1.000000,0.000000,0.081114,0.941875,0.901972,0.212074,0.000000,0.000071,0.921875,0.000000,0.234375,0.000000,10
15360,0.073780,1.270967,1.808332,1.270967,0.672373,0.598593,1.000000,0.000000,0.086997,0.914319,0.897700,0.230947,0.000000,0.000046,0.921875,0.000000,0.234375,0.000000,10
16384,0.073893,1.294945,1.856087,1.294945,0.684419,0.610526,1.000000,0.000000,0.085622,0.941514,0.905073,0.213840,0.000000,0.000031,0.921875,0.000000,0.234375,0.000000,10
17408,0.073808,1.273234,1.806453,1.273234,0.673521,0.599713,1.000000,0.000000,0.082034,0.924139,0.897805,0.221969,0.000000,0.000053,0.921875,0.000000,0.234375,0.000000,10
18432,0.073841,1.282148,1.833311,1.282148,0.677994,0.604153,1.000000,0.000000,0.088743,0.923879,0.901370,0.226619,0.000000,0.000062,0.921875,0.000000,0.234375,0.000000,10
19456,0.073901,1.292407,1.845770,1.292407,0.683154,0.609253,1.000000,0.000000,0.081737,0.945271,0.903296,0.210791,0.000000,0.000059,0.921875,0.000000,0.234375,0.000000,10
20480,0.073789,1.269348,1.803684,1.269348,0.671569,0.597779,1.000000,0.000000,0.085879,0.914179,0.897093,0.230447,0.000000,0.000036,0.921875,0.000000,0.234375,0.000000,10
21504,0.073894,1.293284,1.853995,1.293284,0.683589,0.609695,1.000000,0.000000,0.086760,0.938542,0.904694,0.216651,0.000000,0.000037,0.921875,0.000000,0.234375,0.000000,10
22528,0.073817,1.277178,1.813420,1.277178,0.675497,0.601680,1.000000,0.000000,0.081299,0.929589,0.898838,0.218445,0.000000,0.000068,0.921875,0.000000,0.234375,0.000000,10
23552,0.073839,1.278166,1.824958,1.278166,0.676003,0.602163,1.000000,0.000000,0.088611,0.919772,0.900107,0.228928,0.000000,0.000060,0.921875,0.000000,0.234375,0.000000,10
24576,0.073898,1.294940,1.852531,1.294940,0.684419,0.610521,1.000000,0.000000,0.082736,0.945347,0.904340,0.210436,0.000000,0.000039,0.921875,0.000000,0.234375,0.000000,10
25600,0.073790,1.268930,1.801290,1.268930,0.671360,0.597570,1.000000,0.000000,0.084645,0.915521,0.896847,0.228893,0.000000,0.000031,0.921875,0.000000,0.234375,0.000000,10
26624,0.073892,1.290668,1.849697,1.290668,0.682280,0.608388,1.000000,0.000000,0.087699,0.934543,0.903961,0.219771,0.000000,0.000047,0.921875,0.000000,0.234375,0.000000,10
27648,0.073826,1.281903,1.822616,1.281903,0.677865,0.604039,1.000000,0.000000,0.080943,0.935278,0.900132,0.215145,0.000000,0.000076,0.921875,0.000000,0.234375,0.000000,10
28672,0.073834,1.274553,1.816968,1.274553,0.674194,0.600359,1.000000,0.000000,0.088116,0.916590,0.898929,0.230399,0.000000,0.000053,0.921875,0.000000,0.234375,0.000000,10
29696,0.073889,1.295714,1.855725,1.295714,0.684802,0.610912,1.000000,0.000000,0.083971,0.944061,0.904956,0.211221,0.000000,0.000031,0.921875,0.000000,0.234375,0.000000,10
30720,0.073789,1.269883,1.801594,1.269883,0.671836,0.598047,1.000000,0.000000,0.083415,0.918380,0.896997,0.226235,0.000000,0.000036,0.921875,0.000000,0.234375,0.000000,10
31744,0.073888,1.287261,1.843434,1.287261,0.680575,0.606686,1.000000,0.000000,0.088370,0.929944,0.902949,0.222904,0.000000,0.000057,0.921875,0.000000,0.234375,0.000000,10
32768,0.073837,1.286818,1.832949,1.286818,0.680327,0.606491,1.000000,0.000000,0.081003,0.940508,0.901547,0.212612,0.000000,0.000074,0.921875,0.000000,0.234375,0.000000,10
