step_index,mean_output,mean_abs_output,output_variance,mean_total_activation,mean_forward_channel,mean_reverse_channel,mean_directional_dominance,mean_channel_coexistence,mean_split_eligibility,mean_admissibility,mean_residue,mean_tension,mean_barrier_scaffold,mean_abs_step_delta,corridor_edge_fraction,coexistence_edge_fraction,barrier_edge_fraction,dual_active_node_fraction,output_interface_count
0,0.000272,0.005270,0.000042,0.020867,0.010569,0.010298,0.289262,0.007798,0.000000,0.550226,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
1024,0.203337,1.261690,1.745931,1.261690,0.732513,0.529177,1.000000,0.000000,0.078006,0.939732,0.891607,0.198048,0.000000,0.000028,0.906250,0.000000,0.289062,0.000000,12
2048,0.202307,1.265604,1.756132,1.265604,0.733955,0.531648,1.000000,0.000000,0.078331,0.942476,0.894258,0.194795,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
3072,0.202315,1.265218,1.755451,1.265218,0.733766,0.531451,1.000000,0.000000,0.078367,0.941991,0.894197,0.195141,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
4096,0.202316,1.265212,1.755432,1.265212,0.733764,0.531448,1.000000,0.000000,0.078359,0.941996,0.894194,0.195131,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
5120,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
6144,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
7168,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
8192,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
9216,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
10240,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
11264,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
12288,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
13312,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
14336,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
15360,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
16384,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
17408,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
18432,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
19456,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
20480,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
21504,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
22528,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
23552,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
24576,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
25600,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
26624,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
27648,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
28672,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
29696,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
30720,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
31744,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
32768,0.202316,1.265214,1.755437,1.265214,0.733765,0.531449,1.000000,0.000000,0.078359,0.941999,0.894194,0.195129,0.000000,0.000000,0.906250,0.000000,0.281250,0.000000,12
