theorem_id,N,R,continuation_capacity,topology_fragmentation_index,normalized_fragmentation,theorem_agreement_score,projection_variance,boundary_violation_rate
T001,128,0.05,6.4,0.9975434483848923,0.015586616381013942,0.25184241371133076,8.129815460549271e-06,0.49877172419244614
T001,128,0.1,12.8,0.99886008160359,0.015607188775056093,0.2508549387973076,5.802481674792377e-06,0.499430040801795
T001,128,0.25,32.0,0.994746932442071,0.01554292081940736,0.2539398006684468,2.5126735039796563e-05,0.4973734662210355
T001,128,0.5,64.0,0.996477048956423,0.015569953889944109,0.25264221328268277,1.4839804387835901e-05,0.4982385244782115
T001,128,0.75,96.0,0.6665526819680186,0.010414885655750291,0.5000854885239862,2.9029854858865996e-05,0.3332763409840093
T001,256,0.05,12.8,0.9964949814405355,0.015570234085008367,0.2526287639195984,1.670278393490157e-05,0.49824749072026775
T001,256,0.1,25.6,0.9950094479212495,0.015547022623769523,0.2537429140590629,2.5824139984451065e-05,0.49750472396062473
T001,256,0.25,64.0,0.9957405960409422,0.015558446813139722,0.2531945529692933,2.61943766548595e-05,0.4978702980204711
T001,256,0.5,128.0,0.49842988570719204,0.007787966964174876,0.6261775857196059,1.565006832691631e-05,0.24921494285359602
T001,256,0.75,192.0,0.333332384416177,0.005208318506502766,0.7500007116878672,7.157897007954087e-06,0.1666661922080885
T001,512,0.05,25.6,0.9955512487903007,0.015555488262348448,0.25333656340727445,1.476458401715881e-05,0.49777562439515033
T001,512,0.1,51.2,0.9968298918501002,0.015575467060157815,0.2523775811124249,1.3212736696001028e-05,0.4984149459250501
T001,512,0.25,128.0,0.5002429052263985,0.007816295394162476,0.6248178210802011,1.8955598493940846e-05,0.25012145261319924
T001,512,0.5,256.0,0.24980362290927766,0.0039031816079574634,0.8126472828180418,2.6093866004296452e-06,0.12490181145463883
T001,512,0.75,384.0,0.16627198575279015,0.002597999777387346,0.8752960106854074,1.64129243798014e-06,0.08313599287639507
T001,768,0.05,38.400000000000006,0.9955294036960308,0.015555146932750482,0.2533529472279769,2.0161900449138906e-05,0.4977647018480154
