theorem_id,N,R,selected_omega,min_fragmentation,corridor_alignment_score,orientation_stability_score,orientation_collapse
T001,512,0.1,0.0,0.625,-1.0,0.55060544129179,True
T001,512,0.25,0.0,0.25,-1.0,0.5253550985991426,False
T001,512,0.5,0.0,0.125,-1.0,0.5293830136827675,False
T001,1024,0.1,0.0,0.3125,-1.0,0.5308222461150152,False
T001,1024,0.25,0.0,0.125,-1.0,0.5216129197489043,False
T001,1024,0.5,0.0,0.0625,-1.0,0.5281310851928442,False
T001,2048,0.1,0.0,0.15625,-1.0,0.5307202896064194,False
T001,2048,0.25,0.0,0.0625,-1.0,0.5322312487284016,False
T001,2048,0.5,0.0,0.03125,-1.0,0.525297420753571,False
T002,512,0.1,0.0,1.0,-1.0,0.7577195993519567,True
T002,512,0.25,0.0,0.5,-1.0,0.5290669511578729,False
T002,512,0.5,0.0,0.25,-1.0,0.5289167603772923,False
T002,1024,0.1,0.0,0.625,-1.0,0.5209186046988497,True
T002,1024,0.25,0.0,0.25,-1.0,0.5301094976510403,False
T002,1024,0.5,0.0,0.125,-1.0,0.524102808212175,False
T002,2048,0.1,0.0,0.3125,-1.0,0.5437238336203372,False
T002,2048,0.25,0.0,0.125,-1.0,0.5413912750377236,False
T002,2048,0.5,0.0,0.0625,-1.0,0.5266606358938197,False
T003,512,0.1,0.0,1.0,-1.0,0.6751834557918743,True
T003,512,0.25,0.0,1.0,-1.0,0.7138173898628172,True
T003,512,0.5,0.0,0.5,-1.0,0.5406660753645691,False
T003,1024,0.1,0.0,1.0,-1.0,0.707274152462807,True
T003,1024,0.25,0.0,0.5,-1.0,0.5279917600118675,False
T003,1024,0.5,0.0,0.25,-1.0,0.5239041761344148,False
T003,2048,0.1,0.0,0.625,-1.0,0.525558161280667,True
T003,2048,0.25,0.0,0.25,-1.0,0.534912130806408,False
T003,2048,0.5,0.0,0.125,-1.0,0.5358846298779277,False
T004,512,0.1,0.0,1.0,-1.0,0.7388010381219382,True
T004,512,0.25,0.0,1.0,-1.0,0.7081788831890274,True
T004,512,0.5,0.0,0.5,-1.0,0.5298403254187911,False
T004,1024,0.1,0.0,1.0,-1.0,0.7168654456109576,True
T004,1024,0.25,0.0,0.5,-1.0,0.5204313856759997,False
T004,1024,0.5,0.0,0.25,-1.0,0.5255127632572816,False
T004,2048,0.1,0.0,0.625,-1.0,0.5256432345372664,True
T004,2048,0.25,0.0,0.25,-1.0,0.5412756010055841,False
T004,2048,0.5,0.0,0.125,-1.0,0.5392781516751342,False
MST-001,512,0.1,0.0,1.0,-1.0,0.7536878818276526,True
MST-001,512,0.25,0.0,0.5,-1.0,0.5347852740512655,False
MST-001,512,0.5,0.0,0.25,-1.0,0.5267989702117974,False
MST-001,1024,0.1,0.0,0.625,-1.0,0.5638224198456177,True
MST-001,1024,0.25,0.0,0.25,-1.0,0.5233084197767512,False
MST-001,1024,0.5,0.0,0.125,-1.0,0.5268618628177074,False
MST-001,2048,0.1,0.0,0.3125,-1.0,0.5266994372846981,False
MST-001,2048,0.25,0.0,0.125,-1.0,0.5207837420988578,False
MST-001,2048,0.5,0.0,0.0625,-1.0,0.5269067912265548,False
