theorem_id,N,R_base,frag_injection,identity_similarity,identity_drift_rate,identity_collapse_rate,persistence_status
T001,512,0.1,0.0,0.0,1.0,1.0,unstable
T001,512,0.1,0.1,0.0,1.0,1.0,unstable
T001,512,0.1,0.25,0.0,1.0,1.0,unstable
T001,512,0.25,0.0,0.9999477285737514,5.227142624872552e-05,0.5666666666666667,unstable
T001,512,0.25,0.1,0.0,1.0,1.0,unstable
T001,512,0.25,0.25,0.0,1.0,1.0,unstable
T001,512,0.5,0.0,0.9999540357090725,4.596429092733612e-05,0.0,stable
T001,512,0.5,0.1,0.9999575889739475,4.241102605242834e-05,0.0,stable
T001,512,0.5,0.25,0.9999546178359155,4.538216408430028e-05,0.5333333333333333,unstable
T001,1024,0.1,0.0,0.0,1.0,1.0,unstable
T001,1024,0.1,0.1,0.0,1.0,1.0,unstable
T001,1024,0.1,0.25,0.0,1.0,1.0,unstable
T001,1024,0.25,0.0,0.9999465317104897,5.3468289510438806e-05,0.0,stable
T001,1024,0.25,0.1,0.9999502007839431,4.979921605673399e-05,0.0,stable
T001,1024,0.25,0.25,0.999953562533913,4.643746608704036e-05,0.4666666666666667,unstable
T001,1024,0.5,0.0,0.999953409793261,4.65902067390056e-05,0.0,stable
T001,1024,0.5,0.1,0.9999554853920531,4.451460794688463e-05,0.0,stable
T001,1024,0.5,0.25,0.9999562345702693,4.3765429730583764e-05,0.0,stable
T001,2048,0.1,0.0,0.9999397773514149,6.02226485850695e-05,0.0,stable
T001,2048,0.1,0.1,0.9999438610580839,5.6138941916050734e-05,0.0,stable
T001,2048,0.1,0.25,0.0,1.0,1.0,unstable
T001,2048,0.25,0.0,0.9999478494961365,5.2150503863660864e-05,0.0,stable
T001,2048,0.25,0.1,0.9999500742172021,4.9925782797843873e-05,0.0,stable
T001,2048,0.25,0.25,0.9999531835110212,4.681648897874776e-05,0.0,stable
T001,2048,0.5,0.0,0.9999529763508304,4.702364916969737e-05,0.0,stable
T001,2048,0.5,0.1,0.9999547019869311,4.5298013068872935e-05,0.0,stable
T001,2048,0.5,0.25,0.9999554724377367,4.4527562263256085e-05,0.0,stable
T002,512,0.1,0.0,0.0,1.0,1.0,unstable
T002,512,0.1,0.1,0.0,1.0,1.0,unstable
T002,512,0.1,0.25,0.0,1.0,1.0,unstable
T002,512,0.25,0.0,0.0,1.0,1.0,unstable
T002,512,0.25,0.1,0.0,1.0,1.0,unstable
T002,512,0.25,0.25,0.0,1.0,1.0,unstable
T002,512,0.5,0.0,0.9999542522727591,4.5747727240826506e-05,0.5,unstable
T002,512,0.5,0.1,0.0,1.0,1.0,unstable
T002,512,0.5,0.25,0.0,1.0,1.0,unstable
T002,1024,0.1,0.0,0.0,1.0,1.0,unstable
T002,1024,0.1,0.1,0.0,1.0,1.0,unstable
T002,1024,0.1,0.25,0.0,1.0,1.0,unstable
T002,1024,0.25,0.0,0.9999453106111105,5.468938888935256e-05,0.6,unstable
T002,1024,0.25,0.1,0.0,1.0,1.0,unstable
T002,1024,0.25,0.25,0.0,1.0,1.0,unstable
T002,1024,0.5,0.0,0.9999535022137316,4.649778626853636e-05,0.0,stable
