N,r_rate,mean_agreement,std_agreement,projection_variance
256,0.1,0.34468773488416,0.006998530558939368,4.8979429984408186e-05
256,0.25,0.3852953817978138,0.0048919759464063186,2.3931428660217997e-05
256,0.5,0.43924581486221675,0.005646507084776279,3.1883042258428717e-05
512,0.1,0.37047221393712815,0.0036156671281011724,1.307304878123138e-05
512,0.25,0.4388325482098678,0.004675449314993586,2.1859826297073992e-05
512,0.5,0.5353816757257348,0.0030229834248882968,9.138428787149377e-06
768,0.1,0.3936478703807447,0.0035866132983806377,1.2863794952120838e-05
768,0.25,0.4901428947114928,0.003546777154703333,1.2579628185125472e-05
768,0.5,0.6164588178912093,0.003613501628678525,1.3057394020462353e-05
1024,0.1,0.4175273819483612,0.0031113094979164082,9.680246791824853e-06
1024,0.25,0.5366007343812345,0.003366788814981106,1.1335266924681879e-05
1024,0.5,0.6841752126618815,0.002535176303206762,6.427118888341103e-06
1536,0.1,0.45958767709946124,0.002147238344031472,4.6106325060790175e-06
1536,0.25,0.6178334079657778,0.0023067619448587876,5.3211506702486965e-06
1536,0.5,0.7861084943460831,0.0023591290321507354,5.565489790336465e-06
2048,0.1,0.50018409055805,0.0022707811060353983,5.156446831527347e-06
2048,0.25,0.6839177816198329,0.002617083638465422,6.849126770723412e-06
2048,0.5,0.8535497385332264,0.002357022603769496,5.5555555546803345e-06
