N,residue_reinscription_rate,admissibility_window_width,topology_density,mean_tri_mechanism_agreement,mean_graph_ca_agreement
32,0.0,0.01,low,0.2990840638518854,0.33067530403202744
32,0.0,0.01,medium,0.2950682334104755,0.3300089166338396
32,0.0,0.01,high,0.2997800043986922,0.3291641287228043
32,0.0,0.025,low,0.3067619834953649,0.3418149247498034
32,0.0,0.025,medium,0.2971880994095262,0.32901470675595185
32,0.0,0.025,high,0.29992552225407393,0.33437945082983966
32,0.0,0.05,low,0.302300466586494,0.33936669046996737
32,0.0,0.05,medium,0.3049203546613954,0.3384207167282988
32,0.0,0.05,high,0.29777723785288557,0.3291559201693554
32,0.0,0.1,low,0.29878419602888423,0.329720898566887
32,0.0,0.1,medium,0.30109452134719017,0.33378231427323063
32,0.0,0.1,high,0.3120674007539222,0.3468662922318494
32,0.0,0.2,low,0.2944466479874356,0.3242773517119934
32,0.0,0.2,medium,0.3040800944658412,0.33418529140197867
32,0.0,0.2,high,0.2989799019195504,0.33443804036933517
32,0.01,0.01,low,0.3039699875913253,0.3358188780091552
32,0.01,0.01,medium,0.29785692623543286,0.33133633572343907
32,0.01,0.01,high,0.3009503154946341,0.33543784991258346
32,0.01,0.025,low,0.3074802934649175,0.34149947678231063
32,0.01,0.025,medium,0.30508481347148214,0.34090586455170324
32,0.01,0.025,high,0.29989379716571213,0.3346861710201793
32,0.01,0.05,low,0.3067273535961472,0.3415487461721465
32,0.01,0.05,medium,0.3115079892639516,0.3435286344386699
32,0.01,0.05,high,0.30247616587563325,0.3327670733384857
32,0.01,0.1,low,0.30662422096171427,0.3379043441671382
32,0.01,0.1,medium,0.3010477406331421,0.3337076387122742
32,0.01,0.1,high,0.3072569111193541,0.3431918891791772
32,0.01,0.2,low,0.31134572878236827,0.34198541934473264
32,0.01,0.2,medium,0.30668809466699726,0.3407734940929775
32,0.01,0.2,high,0.303123099842562,0.3372004832034955
32,0.05,0.01,low,0.30603798530039056,0.3399282344793397
32,0.05,0.01,medium,0.3161949336293165,0.35343377718138247
32,0.05,0.01,high,0.31158505992898555,0.3487279527175815
32,0.05,0.025,low,0.3148244048335875,0.3500393007551892
32,0.05,0.025,medium,0.3169659018079095,0.34958865901134356
32,0.05,0.025,high,0.3082790898646119,0.34184770581608
32,0.05,0.05,low,0.31365665069428483,0.35099556239843255
32,0.05,0.05,medium,0.3105393897965268,0.3466752905077951
32,0.05,0.05,high,0.308731753326383,0.34023403658234225
32,0.05,0.1,low,0.32228213004690326,0.3574880775976879
32,0.05,0.1,medium,0.3077505862847016,0.3416742232971685
32,0.05,0.1,high,0.3129126061845378,0.3473049034146819
32,0.05,0.2,low,0.30357729693206437,0.33679512123555055
32,0.05,0.2,medium,0.3104781894833658,0.34579125117599574
32,0.05,0.2,high,0.3048790796234665,0.3409607171464085
32,0.1,0.01,low,0.3162688802864062,0.35130775231624717
32,0.1,0.01,medium,0.3248027798516014,0.35836872585858526
32,0.1,0.01,high,0.31689404832573637,0.3512093445432851
32,0.1,0.025,low,0.3213883958359396,0.35423690180171563
32,0.1,0.025,medium,0.3258738915072178,0.3626343270192486
32,0.1,0.025,high,0.31520755724631094,0.3493353192949421
32,0.1,0.05,low,0.3264541674592182,0.3600748137153706
32,0.1,0.05,medium,0.32300112376951434,0.35888640391067483
32,0.1,0.05,high,0.3121953889456778,0.34808440924091716
32,0.1,0.1,low,0.3206278062726749,0.35402797739614855
32,0.1,0.1,medium,0.3136044198676265,0.34893119008418855
32,0.1,0.1,high,0.32391990396829773,0.35627795398457157
32,0.1,0.2,low,0.3148803873610912,0.35256025528576823
32,0.1,0.2,medium,0.3238040350933558,0.3603741191639809
32,0.1,0.2,high,0.3202751501625992,0.3572725977060889
32,0.25,0.01,low,0.34612199848556385,0.3888211994903423
32,0.25,0.01,medium,0.3491192183453991,0.3897134618300357
32,0.25,0.01,high,0.3481964351314043,0.38735477002864305
32,0.25,0.025,low,0.3511026901820336,0.3902571735053006
32,0.25,0.025,medium,0.3450399058937551,0.3837450217559578
32,0.25,0.025,high,0.3490210828283284,0.3900223214642695
32,0.25,0.05,low,0.33815277862010173,0.3786121094668701
32,0.25,0.05,medium,0.34865818912069635,0.38822814304204273
32,0.25,0.05,high,0.3483744069716968,0.38674776214488554
32,0.25,0.1,low,0.34663632997699223,0.38303787366370323
32,0.25,0.1,medium,0.35472336059057213,0.39328923611514033
32,0.25,0.1,high,0.3459555206002196,0.3816566822514191
32,0.25,0.2,low,0.3454067270598899,0.3843814543493392
32,0.25,0.2,medium,0.3498429898573581,0.38815327207994227
32,0.25,0.2,high,0.35312516094829854,0.39182111854266666
32,0.5,0.01,low,0.39288381362480657,0.4304153133656748
32,0.5,0.01,medium,0.3999298500035267,0.44536617522885596
32,0.5,0.01,high,0.38720454444477226,0.433570591215844
32,0.5,0.025,low,0.3883110851527746,0.4327855541250819
32,0.5,0.025,medium,0.40144982313541455,0.44565420117485505
32,0.5,0.025,high,0.38593043602350624,0.4348237021552096
32,0.5,0.05,low,0.3912173059923006,0.43014616891190366
32,0.5,0.05,medium,0.4089458069774956,0.45246726277430305
32,0.5,0.05,high,0.38608485305128165,0.4299349744492601
32,0.5,0.1,low,0.39730122137647217,0.4387827056490103
32,0.5,0.1,medium,0.3959478871076623,0.43785528001780294
32,0.5,0.1,high,0.3882264207650451,0.43462837387797476
32,0.5,0.2,low,0.394628194897583,0.4396288802890062
32,0.5,0.2,medium,0.3994151732812295,0.44582742217506927
32,0.5,0.2,high,0.39174926766880935,0.4382648515424094
64,0.0,0.01,low,0.32083357859864287,0.35592827739483884
64,0.0,0.01,medium,0.324389332167954,0.35494022434254535
64,0.0,0.01,high,0.30609734624971546,0.3395211377375926
64,0.0,0.025,low,0.3200574565939504,0.3537677898909949
64,0.0,0.025,medium,0.3152209478308054,0.3483237865386893
64,0.0,0.025,high,0.311746559409731,0.34667711799026313
64,0.0,0.05,low,0.32133627122355457,0.3543226063864448
64,0.0,0.05,medium,0.3079524382167985,0.34385700798555785
64,0.0,0.05,high,0.3114486136946534,0.345305311036947
64,0.0,0.1,low,0.3143810654509594,0.34702010216935897
64,0.0,0.1,medium,0.31377584260686725,0.34749069364936847
64,0.0,0.1,high,0.31293281418971935,0.34924538356877527
64,0.0,0.2,low,0.3194653393198061,0.3573599436289844
64,0.0,0.2,medium,0.32121305340100037,0.35292532971056906
64,0.0,0.2,high,0.31112843637126975,0.345509456421948
64,0.01,0.01,low,0.324766894559499,0.3603996374122133
64,0.01,0.01,medium,0.3160576982908562,0.3529620994503404
64,0.01,0.01,high,0.3108088735891025,0.34656935353642787
64,0.01,0.025,low,0.317608166351725,0.35149381487567943
64,0.01,0.025,medium,0.31563096105512806,0.35303959217690767
64,0.01,0.025,high,0.32137655934267717,0.3565601496475058
64,0.01,0.05,low,0.32494603888621015,0.3587102838439012
64,0.01,0.05,medium,0.3167898720028395,0.3527599052042537
64,0.01,0.05,high,0.31650255357375723,0.35056743204214896
64,0.01,0.1,low,0.3202468815857901,0.35351322506626914
64,0.01,0.1,medium,0.309422127134605,0.3391333911522209
64,0.01,0.1,high,0.3158346422329445,0.3508725494291656
64,0.01,0.2,low,0.32231216690130887,0.35637663186012297
64,0.01,0.2,medium,0.311563922265759,0.34651155884502777
64,0.01,0.2,high,0.3104564466601476,0.3433255413554388
64,0.05,0.01,low,0.32898300494077026,0.3653240929453206
64,0.05,0.01,medium,0.3174831701119332,0.3542647829453953
64,0.05,0.01,high,0.3320200765354023,0.3695988746387761
64,0.05,0.025,low,0.327219209521906,0.36339499713507306
64,0.05,0.025,medium,0.3294848317070133,0.36546052174768445
64,0.05,0.025,high,0.32977114554321485,0.365810936934749
64,0.05,0.05,low,0.3223572987577143,0.35567545290415714
64,0.05,0.05,medium,0.32881156660880567,0.3636267588351112
64,0.05,0.05,high,0.3297547565442091,0.36657851518199625
64,0.05,0.1,low,0.31465998581088633,0.35048032502015775
64,0.05,0.1,medium,0.33354954551675153,0.3735425227890669
64,0.05,0.1,high,0.3222449167374405,0.35947127427838343
64,0.05,0.2,low,0.32247290128795747,0.35857526285328445
64,0.05,0.2,medium,0.32470292831498787,0.3617034987350334
64,0.05,0.2,high,0.32050045621599615,0.35474140337865767
64,0.1,0.01,low,0.3337775196977121,0.36913280190100156
64,0.1,0.01,medium,0.33286730677947285,0.36638225453820655
64,0.1,0.01,high,0.3296100828434196,0.36801230740848284
64,0.1,0.025,low,0.3329003809715107,0.37267106647682374
64,0.1,0.025,medium,0.33316833221153874,0.3698437746742023
64,0.1,0.025,high,0.33806105204163894,0.37447591770701566
64,0.1,0.05,low,0.33830144180811655,0.37408200945639314
64,0.1,0.05,medium,0.336573873019892,0.374033212615326
64,0.1,0.05,high,0.3241604383086188,0.3643146451676069
64,0.1,0.1,low,0.3288168124634028,0.3666355038064685
64,0.1,0.1,medium,0.3329255478615668,0.3735987776106922
64,0.1,0.1,high,0.33066639145055393,0.3669247991227421
64,0.1,0.2,low,0.322309795116556,0.35806910151990345
64,0.1,0.2,medium,0.3303309260913053,0.3661123688603217
64,0.1,0.2,high,0.33339808277838706,0.3702400083564417
64,0.25,0.01,low,0.3608411020546825,0.4035448969549303
64,0.25,0.01,medium,0.35822489204060837,0.39829338630926603
64,0.25,0.01,high,0.3559623556836235,0.3991587640901702
64,0.25,0.025,low,0.3554045306838669,0.39856269102328934
64,0.25,0.025,medium,0.3602969088785069,0.3999173100587317
64,0.25,0.025,high,0.3664649800594406,0.40520814396614047
64,0.25,0.05,low,0.36148230534948095,0.39963346474415196
64,0.25,0.05,medium,0.356943968857254,0.40047024143597487
64,0.25,0.05,high,0.3579263341910537,0.39470978901301396
64,0.25,0.1,low,0.3642170605138685,0.4055101537137683
64,0.25,0.1,medium,0.36579608293301114,0.40805462556355765
64,0.25,0.1,high,0.36259792600047586,0.4011938148424702
64,0.25,0.2,low,0.3580573733778241,0.4006763023287957
64,0.25,0.2,medium,0.3577778945119441,0.3994757191610087
64,0.25,0.2,high,0.35809553645057757,0.3972091407104253
64,0.5,0.01,low,0.4102533427166429,0.4599751591785339
64,0.5,0.01,medium,0.4013585858462044,0.446448587231771
64,0.5,0.01,high,0.4064468481702997,0.4523080329083786
64,0.5,0.025,low,0.40906702425910313,0.4517723335057363
64,0.5,0.025,medium,0.40932066632041403,0.45866107152245744
64,0.5,0.025,high,0.41124455596134646,0.4536775279130049
64,0.5,0.05,low,0.3999915345637186,0.4432050794852355
64,0.5,0.05,medium,0.3974055467988604,0.4397541105609081
64,0.5,0.05,high,0.40270414660643133,0.45421454869182215
64,0.5,0.1,low,0.4070885845173278,0.453883260779714
64,0.5,0.1,medium,0.3988413360126643,0.4442749177482667
64,0.5,0.1,high,0.39478668829422264,0.44502449059394783
64,0.5,0.2,low,0.4083583788875639,0.4514485088453672
64,0.5,0.2,medium,0.41284857272535586,0.4604350269219635
64,0.5,0.2,high,0.397485785486985,0.4424529107865545
128,0.0,0.01,low,0.35062538576408725,0.3941447954150822
128,0.0,0.01,medium,0.34118027873009443,0.37842520774173505
128,0.0,0.01,high,0.3340717845787495,0.3723916605357083
128,0.0,0.025,low,0.3457440619971729,0.38212705304957556
128,0.0,0.025,medium,0.34008969317038906,0.3830776051859246
128,0.0,0.025,high,0.3439290312179464,0.37991601961097693
128,0.0,0.05,low,0.3390794992871512,0.37794963708207274
128,0.0,0.05,medium,0.3428066438461263,0.3842872816496131
128,0.0,0.05,high,0.34167384955468866,0.38248755331151923
128,0.0,0.1,low,0.3384246502739151,0.37854779678232187
128,0.0,0.1,medium,0.34530007134493,0.38297922943527685
128,0.0,0.1,high,0.35008698563226937,0.38942205940387986
128,0.0,0.2,low,0.36051398199028356,0.3984485896618867
128,0.0,0.2,medium,0.3539928060519235,0.3948470180636414
128,0.0,0.2,high,0.344341412970096,0.38259911408788716
128,0.01,0.01,low,0.339148340243022,0.3796455331623637
128,0.01,0.01,medium,0.34580813553768147,0.38664528101087203
128,0.01,0.01,high,0.3433680852232973,0.3793674186761279
128,0.01,0.025,low,0.3430111707770129,0.38497502646731685
128,0.01,0.025,medium,0.3434707495645069,0.38306570617770624
128,0.01,0.025,high,0.3431651521702904,0.38049897656129833
128,0.01,0.05,low,0.3470683853322827,0.3857238766380487
128,0.01,0.05,medium,0.3395830672090974,0.3810011159549944
128,0.01,0.05,high,0.34645211193984515,0.3840786675067204
128,0.01,0.1,low,0.3396318622977501,0.37724743938573824
128,0.01,0.1,medium,0.345325480435123,0.3878725646278334
128,0.01,0.1,high,0.3392211274013519,0.37905883638173676
128,0.01,0.2,low,0.3425025332302983,0.3822670519208843
128,0.01,0.2,medium,0.3404142693873839,0.3811990746048568
128,0.01,0.2,high,0.341994785870299,0.38087461313746224
128,0.05,0.01,low,0.3426301503407281,0.3805426851858969
128,0.05,0.01,medium,0.3546020706354445,0.3942423367006914
128,0.05,0.01,high,0.3399374045774701,0.3771872286095762
128,0.05,0.025,low,0.3529951938743988,0.39293370692646273
128,0.05,0.025,medium,0.35287545881067317,0.39060339887942025
128,0.05,0.025,high,0.35935644456508414,0.3957566485584973
128,0.05,0.05,low,0.3578005656205937,0.39506846416697783
128,0.05,0.05,medium,0.3533353528033446,0.3928789843229417
128,0.05,0.05,high,0.3533968003533075,0.39140018674057747
128,0.05,0.1,low,0.35438398439455127,0.3934171336681427
128,0.05,0.1,medium,0.3577972983489589,0.39609226362246625
128,0.05,0.1,high,0.3600357887328459,0.39707826850332073
128,0.05,0.2,low,0.3544378568710183,0.3940292963480048
128,0.05,0.2,medium,0.3559565159189735,0.3975154334625304
128,0.05,0.2,high,0.3460018962438095,0.38436964784798516
128,0.1,0.01,low,0.35606053667836507,0.3970726439489093
128,0.1,0.01,medium,0.37439300864299735,0.41366558075750687
128,0.1,0.01,high,0.35172797862210403,0.39679468001216267
128,0.1,0.025,low,0.36310814053846313,0.4048600504363045
128,0.1,0.025,medium,0.3685749166510815,0.4093872081199725
128,0.1,0.025,high,0.36897631053153734,0.4082048166072285
128,0.1,0.05,low,0.36548964615909474,0.40659989446565786
128,0.1,0.05,medium,0.36058986442258073,0.4032940689755212
128,0.1,0.05,high,0.35117267711399147,0.3928552239733014
128,0.1,0.1,low,0.361834252203307,0.40462682019636176
128,0.1,0.1,medium,0.36120776817876277,0.3989632651759622
128,0.1,0.1,high,0.36131111954329326,0.4016679151222921
128,0.1,0.2,low,0.3629734152554129,0.4058644572157651
128,0.1,0.2,medium,0.3629456835286009,0.40539309248757693
128,0.1,0.2,high,0.3501394725189935,0.3935759980428994
128,0.25,0.01,low,0.38571308311240193,0.42883668579545114
128,0.25,0.01,medium,0.39065668816783217,0.4298956883465052
128,0.25,0.01,high,0.38628686165802617,0.4322667014416664
128,0.25,0.025,low,0.3930420865928401,0.43451924569321104
128,0.25,0.025,medium,0.38754216143032455,0.43439621244693144
128,0.25,0.025,high,0.3918563588565553,0.43351593682268835
128,0.25,0.05,low,0.39404039358873855,0.44082396838851706
128,0.25,0.05,medium,0.3893521016419149,0.43348237892496766
128,0.25,0.05,high,0.38806232129233487,0.4322369165375504
128,0.25,0.1,low,0.3836892572863888,0.4294493071281176
128,0.25,0.1,medium,0.3821157356481736,0.4287811592093048
128,0.25,0.1,high,0.392353773552958,0.43727711369389344
128,0.25,0.2,low,0.38072352554406963,0.42262480447117196
128,0.25,0.2,medium,0.3861327858409668,0.4280754485651129
128,0.25,0.2,high,0.39168030287864164,0.43517461206696034
128,0.5,0.01,low,0.4442155850973346,0.4895047658049917
128,0.5,0.01,medium,0.4411561711022811,0.48720636371583936
128,0.5,0.01,high,0.4275809765148145,0.47022843256473024
128,0.5,0.025,low,0.4348178143296331,0.4843708218252393
128,0.5,0.025,medium,0.431666037572266,0.47913335112231004
128,0.5,0.025,high,0.42818140742254485,0.4759121796629436
128,0.5,0.05,low,0.43496499367459035,0.4820761655092725
128,0.5,0.05,medium,0.43164025922371774,0.4778744032474769
128,0.5,0.05,high,0.4366341229564894,0.4837440088888075
128,0.5,0.1,low,0.4388012075129112,0.48858571721686317
128,0.5,0.1,medium,0.43874483347373683,0.48231342443051956
128,0.5,0.1,high,0.4463930563134301,0.493779225788334
128,0.5,0.2,low,0.4345182688898392,0.48532318275930114
128,0.5,0.2,medium,0.43290177858782014,0.48516732727036327
128,0.5,0.2,high,0.4287219802718447,0.4740240716883727
256,0.0,0.01,low,0.389652732124144,0.4353118062064787
256,0.0,0.01,medium,0.3941468685795933,0.4366750991942942
256,0.0,0.01,high,0.4016459570225562,0.44784221149435527
256,0.0,0.025,low,0.40191646515922486,0.44669078489071024
256,0.0,0.025,medium,0.40110754907870194,0.44641163712220244
256,0.0,0.025,high,0.4008441006055538,0.44749654455827864
256,0.0,0.05,low,0.4027105544125025,0.4456139745290134
256,0.0,0.05,medium,0.40649149293768533,0.44915618091446785
256,0.0,0.05,high,0.3948797720071384,0.438595575596059
256,0.0,0.1,low,0.39455717013167074,0.4359187615433019
256,0.0,0.1,medium,0.385779598978632,0.4338959409834491
256,0.0,0.1,high,0.39065038852149836,0.438238528031683
256,0.0,0.2,low,0.39863166125314353,0.4416752478608655
256,0.0,0.2,medium,0.40587398973776795,0.4474985671239612
256,0.0,0.2,high,0.4029793120551654,0.445807409361768
256,0.01,0.01,low,0.391488158568838,0.44119406429512326
256,0.01,0.01,medium,0.40653146215521185,0.4547760385129813
256,0.01,0.01,high,0.40115101327551717,0.4511884227792944
256,0.01,0.025,low,0.3962863730409586,0.4471438200270557
256,0.01,0.025,medium,0.40361374010274814,0.44853655960186545
256,0.01,0.025,high,0.39296561294852594,0.43678191298468033
256,0.01,0.05,low,0.4137992430670569,0.45850787341218946
256,0.01,0.05,medium,0.38831825173407786,0.43328780473936396
256,0.01,0.05,high,0.40888879431577635,0.4562358769996896
256,0.01,0.1,low,0.40101866714930184,0.4466978202044725
256,0.01,0.1,medium,0.4067014161484309,0.44505395785435575
256,0.01,0.1,high,0.4019414037377522,0.44438457203736187
256,0.01,0.2,low,0.4023677978078933,0.44749612363715324
256,0.01,0.2,medium,0.40687135095182286,0.4506398205328225
256,0.01,0.2,high,0.40343755395429526,0.4471197091145227
256,0.05,0.01,low,0.4019709061247928,0.4504733491418346
256,0.05,0.01,medium,0.41016972489746645,0.4530693697405706
256,0.05,0.01,high,0.407670993583872,0.4531778383827078
256,0.05,0.025,low,0.40754546301872396,0.45515619727801016
256,0.05,0.025,medium,0.4168611099723304,0.46384192311062633
256,0.05,0.025,high,0.407275380779885,0.45297072805655997
256,0.05,0.05,low,0.40624656419523997,0.4489629639198668
256,0.05,0.05,medium,0.40772087549888947,0.4524761558440824
256,0.05,0.05,high,0.3997196172694226,0.4491951181467421
256,0.05,0.1,low,0.40746544209659485,0.4525601914583531
256,0.05,0.1,medium,0.4141061091257511,0.4597886682193167
256,0.05,0.1,high,0.4188337220604989,0.4628400106897471
256,0.05,0.2,low,0.41227745822583645,0.45752200128923726
256,0.05,0.2,medium,0.4154506613393474,0.4582847281284798
256,0.05,0.2,high,0.40701182078233605,0.4543060634839513
256,0.1,0.01,low,0.4329237983762712,0.47673036706124094
256,0.1,0.01,medium,0.41733308096880056,0.46579057330295176
256,0.1,0.01,high,0.4231535109592471,0.4695079601420169
256,0.1,0.025,low,0.42338246673920005,0.4739979414116345
256,0.1,0.025,medium,0.41930749559262676,0.4595280065842653
256,0.1,0.025,high,0.4211708611352213,0.46391644194777676
256,0.1,0.05,low,0.42037461861599673,0.4644880762423583
256,0.1,0.05,medium,0.41131620116583767,0.46079911790195466
256,0.1,0.05,high,0.4220711069642937,0.4704842785079217
256,0.1,0.1,low,0.419232379851953,0.46378438784482945
256,0.1,0.1,medium,0.42235804508845215,0.4669947181543574
256,0.1,0.1,high,0.4238812874199565,0.46408388216718943
256,0.1,0.2,low,0.4212862510369464,0.46766281860938397
256,0.1,0.2,medium,0.41867952111167234,0.466113037762135
256,0.1,0.2,high,0.420349997441745,0.4707453026376826
256,0.25,0.01,low,0.44242043096756534,0.49091191787940236
256,0.25,0.01,medium,0.43972174475661935,0.48955195759317116
256,0.25,0.01,high,0.4427376927792979,0.4942367379245166
256,0.25,0.025,low,0.4440985880336144,0.49448108903131816
256,0.25,0.025,medium,0.4411578408611915,0.4916383199773689
256,0.25,0.025,high,0.4492579332457845,0.4963704016681846
256,0.25,0.05,low,0.44474172289918157,0.49461156460085093
256,0.25,0.05,medium,0.45269314671433825,0.5006141340664061
256,0.25,0.05,high,0.44745825008483014,0.4948828948335301
256,0.25,0.1,low,0.4447188252712308,0.4997823590665987
256,0.25,0.1,medium,0.446595889035496,0.49956981048792953
256,0.25,0.1,high,0.44148440084898344,0.4914459528499328
256,0.25,0.2,low,0.44513213872788615,0.4961483050928009
256,0.25,0.2,medium,0.4437641072568614,0.49722005118616347
256,0.25,0.2,high,0.4493740697937605,0.5019406518885705
256,0.5,0.01,low,0.48749351203368935,0.5398512250402963
256,0.5,0.01,medium,0.48206597405485685,0.5351314131977402
256,0.5,0.01,high,0.48612305220204816,0.5393880492872086
256,0.5,0.025,low,0.48337311899656255,0.5418014614814245
256,0.5,0.025,medium,0.4908647615881101,0.5447408569511467
256,0.5,0.025,high,0.48376469505581077,0.5359774874642985
256,0.5,0.05,low,0.4984760857061344,0.5559852767125686
256,0.5,0.05,medium,0.4877950732708715,0.5440032108762048
256,0.5,0.05,high,0.49765716944209487,0.5511736155804342
256,0.5,0.1,low,0.49382081060564825,0.5482329272678433
256,0.5,0.1,medium,0.49349041050356096,0.546114849641775
256,0.5,0.1,high,0.48469936743075354,0.5418268179644735
256,0.5,0.2,low,0.48500364172261895,0.5400365876243464
256,0.5,0.2,medium,0.48394327891099886,0.5375200890616759
256,0.5,0.2,high,0.4883050001789665,0.5470619609707702
512,0.0,0.01,low,0.5092958305492885,0.5664615520625557
512,0.0,0.01,medium,0.49998369323548214,0.5572537252343871
512,0.0,0.01,high,0.5102962430463154,0.5615780050291744
512,0.0,0.025,low,0.5235974586547875,0.5788032206716287
512,0.0,0.025,medium,0.5200181969844062,0.5768324682492073
512,0.0,0.025,high,0.5067702291099416,0.5676812258907956
512,0.0,0.05,low,0.5143177423166442,0.5706296083859052
512,0.0,0.05,medium,0.5157246289686833,0.5801705127062843
512,0.0,0.05,high,0.5174246906972048,0.5762935759101618
512,0.0,0.1,low,0.5168986400952932,0.5686184378840705
512,0.0,0.1,medium,0.5081520978376549,0.5673473347364211
