theorem_id,N,gamma,steps,mean_residue,final_fragmentation,final_agreement,admissibility_surface_shift,basin_area_delta
T001,256,0.01,10,0.0036845085936915733,0.997166080601478,0.2521254395488915,0.037728672937078045,0.009432168234269511
T001,256,0.01,50,0.0189341183618423,0.9954087589365525,0.2534434307975856,0.1938670179407609,0.04846675448519022
T001,256,0.01,100,0.039733871076796684,0.9962449658221263,0.2528162756334052,0.40679401696922923,0.10169850424230731
T001,256,0.01,250,0.10650757831083428,0.9970157412614874,0.2522381940538844,1.090057002199842,0.2725142505499605
T001,256,0.05,10,0.003874979678532569,0.9947607599046494,0.25392943007151286,0.1983797409836825,0.049594935245920624
T001,256,0.05,50,0.021943602561585014,0.9951930678745914,0.2536051990940564,1.1228963287386478,0.28072408218466194
T001,256,0.05,100,0.04595436649210994,0.9955192915352419,0.2533605313485687,2.3501625246713047,0.5875406311678262
T001,256,0.05,250,0.1494446347048587,0.9907101036992177,0.2569674222255867,7.623049232788958,1.9057623081972395
T001,256,0.1,10,0.0038042456151533314,0.9949544841362812,0.25378413689778906,0.38948066228942935,0.09737016557235734
T001,256,0.1,50,0.023903643396231414,0.9927890194633655,0.25540823540247576,2.4448099264368466,0.6112024816092116
T001,256,0.1,100,0.05352636468229262,0.9936902193085825,0.2547323355185631,5.466456714200717,1.3666141785501793
T001,256,0.1,250,0.25705551040180713,0.9738280997184108,0.26962892521119186,25.987047624637853,6.496761906159463
T001,256,0.25,10,0.004371517832358382,0.9960975082891628,0.252926868783128,1.1184972624163265,0.27962431560408163
T001,256,0.25,50,0.025944525883446222,0.9924262377160222,0.2556803217129833,6.620305331168197,1.6550763327920492
T001,256,0.25,100,0.1104638308954146,0.9736970213673477,0.2697272339744892,27.89183819760831,6.972959549402077
T001,256,0.25,250,2.924690308052762,0.49113950952402213,0.6316453678569833,531.1034922457752,132.7758730614438
T001,512,0.01,10,0.5006732942996012,0.49795944517266955,0.6265304161204978,5.114081430596912,1.278520357649228
T001,512,0.01,50,2.53086994673131,0.48343031934796504,0.6374272604890263,25.590906015234054,6.397726503808514
T001,512,0.01,100,5.120381678852128,0.47191542397435704,0.6460634320192321,51.112952297312745,12.778238074328186
T001,512,0.01,250,13.275641582981404,0.44069558368232575,0.6694783122382556,127.30535165853507,31.82633791463377
T001,512,0.05,10,0.5054458777400246,0.49099043543325405,0.6317571734250595,25.55455769114201,6.388639422785502
T001,512,0.05,50,2.6529235425410906,0.4373312696386955,0.6720015477709784,127.20649575495736,31.80162393873934
T001,512,0.05,100,5.6132551236697905,0.37787571306243745,0.7165932152031721,250.59020077216496,62.64755019304124
T001,512,0.05,250,16.164268925595852,0.2233850724985853,0.8324611956260611,567.650775631527,141.91269390788176
T001,512,0.1,10,0.5119324689140515,0.478292064357651,0.6412809517317619,51.10266892696586,12.775667231741465
T001,512,0.1,50,2.803472769380848,0.37908588359598044,0.7156855873030145,250.34616754063006,62.586541885157516
T001,512,0.1,100,6.183572785443242,0.27302933702764537,0.7952279972292658,472.23925074687963,118.05981268671991
T001,512,0.1,250,18.82576381079851,0.07795697803228677,0.9415322664757849,868.1497789568133,217.03744473920332
T001,512,0.25,10,0.5283484276400621,0.4450171781290002,0.66623711640325,126.70498503911017,31.676246259777542
T001,512,0.25,50,3.218282955137558,0.22780563334210152,0.8291457749934239,565.9853974902151,141.49634937255377
T001,512,0.25,100,7.5136904792934445,0.07923729421600775,0.9405720293379942,867.5010679843001,216.87526699607503
T001,512,0.25,250,22.182846475989045,0.007831973703770242,0.9941260197221722,1020.0021361274876,255.0005340318719
T001,1024,0.01,10,0.7511339976248474,0.24997120342006227,0.8125215974349533,7.6627971702910145,1.9156992925727536
T001,1024,0.01,50,3.771874944441809,0.23914447729824884,0.8206416420263134,37.90464765904858,9.476161914762145
T001,1024,0.01,100,7.589039731851679,0.2293162839715993,0.8280127870213004,74.83617928409979,18.709044821024946
T001,1024,0.01,250,19.306325233756024,0.2065631654007958,0.8450776259494032,179.78385881471945,44.94596470367986
T001,1024,0.05,10,0.753429435766924,0.24326734643765388,0.8175494901717595,37.85802628006047,9.464506570015118
T001,1024,0.05,50,3.8598980971448014,0.21011415264915645,0.8424143855131326,179.72615679675243,44.93153919918811
T001,1024,0.05,100,7.925613764568213,0.16913806727428626,0.8731464495442854,335.0345549932259,83.75863874830648
T001,1024,0.05,250,21.061989288904037,0.08914024064342425,0.9331448195174319,666.7726759583147,166.69316898957868
T001,1024,0.1,10,0.7589356154443992,0.230287271957084,0.8272845460321869,74.83918264811496,18.70979566202874
T001,1024,0.1,50,3.9579695533085606,0.16872546260195004,0.8734559030485375,334.70119912109715,83.67529978027429
T001,1024,0.1,100,8.27189801180823,0.10840346798794871,0.9186973990090385,576.2289716090318,144.05724290225794
T001,1024,0.1,250,22.387361817330518,0.027027339361034,0.9797294954792245,914.8486311554074,228.71215778885184
T001,1024,0.25,10,0.7692134190159757,0.2124932026379712,0.8406300980215217,179.14209720335805,44.78552430083951
T001,1024,0.25,50,4.202496325652227,0.08919184780443142,0.9331061141466765,665.887306139143,166.47182653478575
T001,1024,0.25,100,8.942694785431648,0.027080929751516377,0.9796893026863628,914.5138443063885,228.62846107659712
T001,1024,0.25,250,23.804786513169752,0.005541013698493484,0.9958442397261299,1021.3348104592883,255.33370261482207
T001,1536,0.01,10,0.8331030558310247,0.167054121304355,0.8747094090217338,8.495537862172228,2.123884465543057
T001,1536,0.01,50,4.1837640042469495,0.1609979295706156,0.8792515528220383,41.95791332527551,10.489478331318878
T001,1536,0.01,100,8.401639674298757,0.15142135803551834,0.8864339814733614,82.51783112630369,20.629457781575923
T001,1536,0.01,250,21.24147260944797,0.13455863659802234,0.8990810225514831,195.96362920208708,48.99090730052177
T001,1536,0.05,10,0.8359839702017001,0.16173630047888213,0.8786977746408385,41.92016139698126,10.480040349245314
T001,1536,0.05,50,4.248500782588531,0.13457429521611994,0.8990692785879103,195.97216872608215,48.993042181520536
T001,1536,0.05,100,8.64612354981836,0.10919046419805821,0.9181071518514563,359.41311097450205,89.85327774362551
T001,1536,0.05,250,22.466472358555677,0.05673707190576142,0.9574471960706791,690.9981026634167,172.74952566585418
T001,1536,0.1,10,0.8387192283024998,0.1543783146452859,0.8842162640160356,82.38180168747783,20.595450421869458
