temperature,lambda,eta,mean_relative_improvement,median_relative_improvement,improvement_ci_low,improvement_ci_high,seed_consistency,standardized_effect,mean_jsd,finite_history_win_rate,shuffled_win_rate,random_win_rate,mean_best_history_k,candidate_stable,adjacent_stable_support,stable_region
0.08,0.1,0.025,-603264.5264179679,0.11136567721792182,-1809794.1810505548,0.47591424623063877,0.625,-0.35355325718327524,0.1993281066787911,0.625,1.0,1.0,4.375,False,0,False
0.08,0.1,0.1,-520596.2001849892,0.08114894960714064,-1561789.0186148586,0.343191074925151,0.75,-0.3535532692024425,0.18591427427507617,0.75,1.0,1.0,3.75,False,1,False
0.08,0.1,0.175,0.3529190062586438,0.24695646321193043,0.18497666469343899,0.5560997687116598,1.0,1.2013602294428214,0.17298073968949457,1.0,1.0,1.0,12.25,True,0,False
0.08,0.1,0.25,-522051.4841267581,0.15375295819428852,-1566155.0863727217,0.4776145083351043,0.75,-0.35355317835369815,0.18938418850082817,0.75,1.0,1.0,3.375,False,1,False
0.08,0.1,0.325,-601601.5446404022,0.1544175994142975,-1804805.1232529832,0.3936408893246374,0.75,-0.35355326075587684,0.20320534618903544,0.75,1.0,1.0,6.375,False,1,False
0.08,0.1,0.4,0.28555965562390245,0.190125378913034,0.11068415241344326,0.4841123924016372,0.875,1.0106424153796545,0.2208449221343695,0.875,1.0,1.0,4.5,True,0,False
0.08,0.2257,0.025,-484039.0635165075,0.09323266194154695,-1452117.4646613572,0.291136129344095,0.625,-0.35355329467817936,0.19293099765524838,0.625,1.0,1.0,6.375,False,0,False
0.08,0.2257,0.1,-571776.4164084892,0.09511918189959663,-1715329.59540286,0.303358140573182,0.75,-0.3535533100181801,0.18899977926034922,0.75,1.0,1.0,7.625,False,1,False
0.08,0.2257,0.175,0.1694905369378897,0.11659604196769623,-0.016446939793183502,0.37082994898835714,0.875,0.546512190892798,0.19134954334870946,0.875,1.0,1.0,4.375,False,1,False
0.08,0.2257,0.25,-600155.8234409966,0.03323165612969562,-1800467.6908731172,0.2223867109373035,0.625,-0.3535533462737953,0.20676805588829383,0.75,1.0,1.0,6.5,False,1,False
0.08,0.2257,0.325,-530170.2855692336,0.13412244905800907,-1590511.3564368275,0.37239370175189135,0.625,-0.3535532436396941,0.18342447498382736,0.625,1.0,1.0,6.5,False,1,False
0.08,0.2257,0.4,-690285.1381242712,0.06672789531929876,-2070855.808224763,0.31173288564339297,0.625,-0.35355330233263627,0.16313615675281545,0.75,1.0,1.0,4.125,False,1,False
0.08,0.3514,0.025,0.11392752824554328,0.09572115583670027,-0.10281917467209016,0.35336670629322886,0.875,0.3437524475399008,0.2030664872708094,0.875,1.0,1.0,9.5,False,0,False
0.08,0.3514,0.1,-574462.082245406,0.1682943578652094,-1723386.4168026242,0.3077357766023762,0.625,-0.3535533403225486,0.1741893158188284,0.625,1.0,1.0,3.5,False,0,False
0.08,0.3514,0.175,-503560.8076661923,0.10677646061517455,-1510682.7039110148,0.24168323648138093,0.75,-0.3535533156814036,0.17325188448042061,0.75,1.0,1.0,6.375,False,0,False
0.08,0.3514,0.25,-472330.0604770352,0.05162823974205377,-1416990.416893109,0.26291873225445767,0.625,-0.3535533192770521,0.1779759476820751,0.625,1.0,1.0,8.0,False,0,False
0.08,0.3514,0.325,-582360.1735526889,0.09337621166292198,-1747080.7960697685,0.2658680081965321,0.625,-0.3535533200368101,0.19271150507351748,0.625,1.0,1.0,4.625,False,0,False
0.08,0.3514,0.4,-392599.80114900775,0.12285712081054226,-1177799.5943000754,0.29936266973581294,0.625,-0.35355333180041437,0.18965199659296825,0.625,1.0,1.0,7.375,False,0,False
0.08,0.4771,0.025,-0.6589398491823221,0.08775559135752094,-2.1708061724219214,0.20594010955408942,0.625,-0.31567654994958877,0.18477082121680216,0.625,1.0,1.0,8.625,False,0,False
0.08,0.4771,0.1,-702497.1798315065,-0.1479455923581763,-2107491.3871718277,0.05165645786299897,0.375,-0.35355344769299796,0.17840005606392265,0.5,1.0,1.0,10.375,False,0,False
0.08,0.4771,0.175,-774502.7491842563,-0.06333911440902787,-2323508.107269151,0.037031565447597004,0.375,-0.35355343211043855,0.20189609294717725,0.375,1.0,1.0,9.0,False,0,False
0.08,0.4771,0.25,-909385.2670780726,0.06510711277438364,-2728155.7004280016,0.04091338216371743,0.625,-0.35355342275667917,0.2174022756227157,0.625,1.0,1.0,5.0,False,0,False
0.08,0.4771,0.325,-797299.9356224033,0.06571715018236485,-2391899.8791206647,0.23644320834768887,0.625,-0.3535533813975566,0.17580859257654338,0.625,1.0,1.0,10.875,False,0,False
