step,active_count,mean_residue,transitions_count,forbidden_active_before,active_without_admissible_continuation,transitions_from_forbidden,transitions_to_forbidden
0,1000,1.0,1000,0,0,0,0
1,1000,2.0,1000,0,0,0,0
2,1000,3.0,1000,0,0,0,0
3,1000,4.0,1000,0,0,0,0
4,1000,5.0,1000,0,0,0,0
5,1000,6.0,1000,0,0,0,0
6,1000,7.0,1000,0,0,0,0
7,1000,8.0,1000,0,0,0,0
8,1000,9.0,1000,0,0,0,0
9,1000,10.0,1000,0,0,0,0
10,1000,11.0,1000,0,0,0,0
11,1000,12.0,1000,0,0,0,0
12,1000,13.0,1000,0,0,0,0
13,1000,14.0,1000,0,0,0,0
14,1000,15.0,1000,0,0,0,0
15,1000,16.0,1000,0,0,0,0
16,1000,17.0,1000,0,0,0,0
17,1000,18.0,1000,0,0,0,0
18,1000,19.0,1000,0,0,0,0
19,1000,20.0,1000,0,0,0,0
20,1000,21.0,1000,0,0,0,0
21,1000,22.0,1000,0,0,0,0
22,1000,23.0,1000,0,0,0,0
23,1000,24.0,1000,0,0,0,0
24,1000,25.0,1000,0,0,0,0
25,1000,26.0,1000,0,0,0,0
26,1000,27.0,1000,0,0,0,0
27,1000,28.0,1000,0,0,0,0
28,1000,29.0,1000,0,0,0,0
29,1000,30.0,1000,0,0,0,0
30,1000,31.0,1000,0,0,0,0
31,1000,32.0,1000,0,0,0,0
32,1000,33.0,1000,0,0,0,0
33,1000,34.0,1000,0,0,0,0
34,1000,35.0,1000,0,0,0,0
35,1000,36.0,1000,0,0,0,0
36,1000,37.0,1000,0,0,0,0
37,1000,38.0,1000,0,0,0,0
38,1000,39.0,1000,0,0,0,0
39,1000,40.0,1000,0,0,0,0
40,1000,41.0,1000,0,0,0,0
41,1000,42.0,1000,0,0,0,0
42,1000,43.0,1000,0,0,0,0
43,1000,44.0,1000,0,0,0,0
44,1000,45.0,1000,0,0,0,0
45,1000,46.0,1000,0,0,0,0
46,1000,47.0,1000,0,0,0,0
47,1000,48.0,1000,0,0,0,0
48,1000,49.0,1000,0,0,0,0
49,1000,50.0,1000,0,0,0,0
50,1000,51.0,1000,0,0,0,0
51,1000,52.0,1000,0,0,0,0
52,1000,53.0,1000,0,0,0,0
53,1000,54.0,1000,0,0,0,0
54,1000,55.0,1000,0,0,0,0
55,1000,56.0,1000,0,0,0,0
56,1000,57.0,1000,0,0,0,0
57,1000,58.0,1000,0,0,0,0
58,1000,59.0,1000,0,0,0,0
59,1000,60.0,1000,0,0,0,0
60,1000,61.0,1000,0,0,0,0
61,1000,62.0,1000,0,0,0,0
62,1000,63.0,1000,0,0,0,0
63,1000,64.0,1000,0,0,0,0
64,1000,65.0,1000,0,0,0,0
65,1000,66.0,1000,0,0,0,0
66,1000,67.0,1000,0,0,0,0
67,1000,68.0,1000,0,0,0,0
68,1000,69.0,1000,0,0,0,0
69,1000,70.0,1000,0,0,0,0
70,1000,71.0,1000,0,0,0,0
71,1000,72.0,1000,0,0,0,0
72,1000,73.0,1000,0,0,0,0
73,1000,74.0,1000,0,0,0,0
74,1000,75.0,1000,0,0,0,0
75,1000,76.0,1000,0,0,0,0
76,1000,77.0,1000,0,0,0,0
77,1000,78.0,1000,0,0,0,0
78,1000,79.0,1000,0,0,0,0
79,1000,80.0,1000,0,0,0,0
80,1000,81.0,1000,0,0,0,0
81,1000,82.0,1000,0,0,0,0
82,1000,83.0,1000,0,0,0,0
83,1000,84.0,1000,0,0,0,0
84,1000,85.0,1000,0,0,0,0
85,1000,86.0,1000,0,0,0,0
86,1000,87.0,1000,0,0,0,0
87,1000,88.0,1000,0,0,0,0
88,1000,89.0,1000,0,0,0,0
89,1000,90.0,1000,0,0,0,0
90,1000,91.0,1000,0,0,0,0
91,1000,92.0,1000,0,0,0,0
92,1000,93.0,1000,0,0,0,0
93,1000,94.0,1000,0,0,0,0
94,1000,95.0,1000,0,0,0,0
95,1000,96.0,1000,0,0,0,0
96,1000,97.0,1000,0,0,0,0
97,1000,98.0,1000,0,0,0,0
98,1000,99.0,1000,0,0,0,0
99,1000,100.0,1000,0,0,0,0
100,1000,101.0,1000,0,0,0,0
101,1000,102.0,1000,0,0,0,0
102,1000,103.0,1000,0,0,0,0
103,1000,104.0,1000,0,0,0,0
104,1000,105.0,1000,0,0,0,0
105,1000,106.0,1000,0,0,0,0
106,1000,107.0,1000,0,0,0,0
107,1000,108.0,1000,0,0,0,0
108,1000,109.0,1000,0,0,0,0
109,1000,110.0,1000,0,0,0,0
110,1000,111.0,1000,0,0,0,0
111,1000,112.0,1000,0,0,0,0
112,1000,113.0,1000,0,0,0,0
113,1000,114.0,1000,0,0,0,0
114,1000,115.0,1000,0,0,0,0
115,1000,116.0,1000,0,0,0,0
116,1000,117.0,1000,0,0,0,0
117,1000,118.0,1000,0,0,0,0
118,1000,119.0,1000,0,0,0,0
119,1000,120.0,1000,0,0,0,0
