step,time,order_parameter,edge_count,avg_degree,candidate_pairs,edge_added,recouple_asymmetry,inadmissible_edge_added,inadmissible_edge_add_fraction,traceability_failures,traceability_failure_fraction,trace_depth_mean
0,0.0,0.15748705892835912,151,6.04,113,1,0.008849557522123894,0,0.0,0,0.0,0.0
1,0.05,0.15726217961644237,152,6.08,111,1,0.009009009009009009,0,0.0,0,0.0,0.0
2,0.1,0.1570426042553478,155,6.2,113,3,0.02654867256637168,0,0.0,0,0.0,0.0
3,0.15000000000000002,0.1568305288345157,154,6.16,110,0,0.0,0,0.0,0,0.0,0.0
4,0.2,0.15667406024914832,154,6.16,114,1,0.008771929824561403,0,0.0,0,0.0,0.0
5,0.25,0.15651093731383123,157,6.28,112,3,0.026785714285714284,0,0.0,0,0.0,0.0
6,0.30000000000000004,0.15634928310741383,158,6.32,112,1,0.008928571428571428,0,0.0,0,0.0,0.0
7,0.35000000000000003,0.1561884438613528,159,6.36,113,1,0.008849557522123894,0,0.0,0,0.0,0.0
8,0.4,0.1560291647689767,163,6.52,109,4,0.03669724770642202,0,0.0,0,0.0,0.0
9,0.45,0.15587789337903618,166,6.64,104,3,0.028846153846153848,0,0.0,0,0.0,0.0
10,0.5,0.1557254930184924,166,6.64,102,2,0.0196078431372549,0,0.0,0,0.0,0.0
11,0.55,0.15553093826290498,167,6.68,102,1,0.00980392156862745,0,0.0,0,0.0,0.0
12,0.6000000000000001,0.155335107815636,171,6.84,102,4,0.0392156862745098,0,0.0,0,0.0,0.0
13,0.65,0.1551463568153471,173,6.92,99,2,0.020202020202020204,0,0.0,0,0.0,0.0
14,0.7000000000000001,0.15495840241581343,174,6.96,98,1,0.01020408163265306,0,0.0,0,0.0,0.0
15,0.75,0.15478201559540672,176,7.04,96,2,0.020833333333333332,0,0.0,0,0.0,0.0
16,0.8,0.15459795392663284,177,7.08,94,1,0.010638297872340425,0,0.0,0,0.0,0.0
17,0.8500000000000001,0.15441515938350242,176,7.04,92,0,0.0,0,0.0,0,0.0,0.0
18,0.9,0.15420444712969938,180,7.2,94,4,0.0425531914893617,0,0.0,0,0.0,0.0
19,0.9500000000000001,0.15399096692185288,184,7.36,92,4,0.043478260869565216,0,0.0,0,0.0,0.0
20,1.0,0.15378382338497038,185,7.4,91,1,0.01098901098901099,0,0.0,0,0.0,0.0
21,1.05,0.15357650215713897,186,7.44,89,2,0.02247191011235955,0,0.0,0,0.0,0.0
22,1.1,0.15332051102583402,190,7.6,89,6,0.06741573033707865,0,0.0,0,0.0,0.0
23,1.1500000000000001,0.15292918542744463,193,7.72,83,3,0.03614457831325301,0,0.0,0,0.0,0.0
24,1.2000000000000002,0.1525319097263652,194,7.76,82,1,0.012195121951219513,0,0.0,0,0.0,0.0
25,1.25,0.1521320117224752,194,7.76,84,0,0.0,0,0.0,0,0.0,0.0
