step,active_fraction,mean_mismatch,mean_residue,admissible_cells,activation_events,activation_fraction_of_admissible,inadmissible_update_count,inadmissible_update_fraction,inadmissible_activation_count,inadmissible_activation_fraction,traceability_failure_count,traceability_failure_fraction,trace_depth_mean
0,0.034912109375,0.019855783522217264,0.10074560546875,143,0,0.0,0,0.0,0,0.0,0,0.0,0.0
1,0.029296875,0.019848263176133266,0.10120299316406249,120,0,0.0,0,0.0,0,0.0,0,0.0,0.0
2,0.03125,0.019830137247144736,0.10175346323242185,128,0,0.0,0,0.0,0,0.0,0,0.0,0.0
3,0.03271484375,0.01981627381640553,0.10237167078759762,134,0,0.0,0,0.0,0,0.0,0,0.0,0.0
4,0.0341796875,0.019762113209833503,0.10305693845472168,140,0,0.0,0,0.0,0,0.0,0,0.0,0.0
5,0.032958984375,0.019734833881744986,0.10367431828892443,135,0,0.0,0,0.0,0,0.0,0,0.0,0.0
6,0.032470703125,0.01968170485587429,0.10426111026228518,133,0,0.0,0,0.0,0,0.0,0,0.0,0.0
7,0.034912109375,0.01960051343848765,0.10496410462841235,143,0,0.0,0,0.0,0,0.0,0,0.0,0.0
8,0.029296875,0.019522899787780705,0.10537930733212825,120,0,0.0,0,0.0,0,0.0,0,0.0,0.0
9,0.026123046875,0.019436803257221368,0.10563166660255698,107,0,0.0,0,0.0,0,0.0,0,0.0,0.0
10,0.023681640625,0.01930802736625293,0.10575943196778143,97,0,0.0,0,0.0,0,0.0,0,0.0,0.0
11,0.014892578125,0.01920066092431802,0.10544646655435352,61,0,0.0,0,0.0,0,0.0,0,0.0,0.0
12,0.006103515625,0.019191198322774154,0.10469717767006005,25,0,0.0,0,0.0,0,0.0,0,0.0,0.0
13,0.00537109375,0.01918326465798005,0.10391876058085944,22,0,0.0,0,0.0,0,0.0,0,0.0,0.0
14,0.00537109375,0.01915501947363791,0.10314812766255085,22,0,0.0,0,0.0,0,0.0,0,0.0,0.0
15,0.008056640625,0.019139491264656555,0.1025194784171753,33,0,0.0,0,0.0,0,0.0,0,0.0,0.0
16,0.008544921875,0.019089264974010037,0.10192152972675358,35,0,0.0,0,0.0,0,0.0,0,0.0,0.0
17,0.006591796875,0.01906090192562427,0.101231904273236,27,0,0.0,0,0.0,0,0.0,0,0.0,0.0
18,0.005859375,0.01906010296614718,0.10051255398050363,24,0,0.0,0,0.0,0,0.0,0,0.0,0.0
19,0.003662109375,0.01906550089335298,0.09969053390944863,15,0,0.0,0,0.0,0,0.0,0,0.0,0.0
20,0.0029296875,0.01908390663028186,0.09884011294535412,12,0,0.0,0,0.0,0,0.0,0,0.0,0.0
21,0.005126953125,0.01908976254160382,0.09810805947215064,21,0,0.0,0,0.0,0,0.0,0,0.0,0.0
22,0.005126953125,0.01909338945759015,0.0973833265336791,21,0,0.0,0,0.0,0,0.0,0,0.0,0.0
23,0.005859375,0.019086612759878167,0.09670246201834229,24,0,0.0,0,0.0,0,0.0,0,0.0,0.0
24,0.005126953125,0.01906316498754932,0.09599178505440889,21,0,0.0,0,0.0,0,0.0,0,0.0,0.0
25,0.003662109375,0.019061240635973135,0.09521497267261479,15,0,0.0,0,0.0,0,0.0,0,0.0,0.0
26,0.00390625,0.019080969862565952,0.09445813544588866,16,0,0.0,0,0.0,0,0.0,0,0.0,0.0
27,0.007080078125,0.019082133845721765,0.09386755799767973,29,0,0.0,0,0.0,0,0.0,0,0.0,0.0
28,0.009521484375,0.019053778085286202,0.09340495663645296,39,0,0.0,0,0.0,0,0.0,0,0.0,0.0
29,0.005859375,0.019002140047295613,0.0927638758200884,24,0,0.0,0,0.0,0,0.0,0,0.0,0.0
30,0.007568359375,0.018994951891967538,0.09221465503063753,31,0,0.0,0,0.0,0,0.0,0,0.0,0.0
31,0.006103515625,0.01898224332697224,0.09159768426158113,25,0,0.0,0,0.0,0,0.0,0,0.0,0.0
32,0.00537109375,0.01898941018937269,0.09095026210646537,22,0,0.0,0,0.0,0,0.0,0,0.0,0.0
33,0.003662109375,0.018995739726892242,0.09022386495415072,15,0,0.0,0,0.0,0,0.0,0,0.0,0.0
34,0.007080078125,0.01899090400485296,0.08967563021085918,29,0,0.0,0,0.0,0,0.0,0,0.0,0.0
35,0.00439453125,0.019008723434000976,0.0889986004712506,18,0,0.0,0,0.0,0,0.0,0,0.0,0.0
36,0.00537109375,0.01898469780816777,0.08837716915403812,22,0,0.0,0,0.0,0,0.0,0,0.0,0.0
37,0.00439453125,0.018986473178406245,0.08771312402499773,18,0,0.0,0,0.0,0,0.0,0,0.0,0.0
38,0.006103515625,0.01898368928208477,0.08714116856599773,25,0,0.0,0,0.0,0,0.0,0,0.0,0.0
39,0.0078125,0.01897618039472076,0.08666038188033774,32,0,0.0,0,0.0,0,0.0,0,0.0,0.0
40,0.010498046875,0.018962399889697515,0.08631868040528438,43,0,0.0,0,0.0,0,0.0,0,0.0,0.0
41,0.0107421875,0.01894321296001295,0.08599260297623151,44,0,0.0,0,0.0,0,0.0,0,0.0,0.0
42,0.004638671875,0.018923554287432122,0.0853646105402192,19,0,0.0,0,0.0,0,0.0,0,0.0,0.0
43,0.005615234375,0.018910256529277754,0.08479172615356703,23,0,0.0,0,0.0,0,0.0,0,0.0,0.0
44,0.005126953125,0.01890429284660592,0.08420015654828134,21,0,0.0,0,0.0,0,0.0,0,0.0,0.0
45,0.00732421875,0.0188962288710956,0.08372436592029854,30,0,0.0,0,0.0,0,0.0,0,0.0,0.0
46,0.007080078125,0.018902672659238465,0.08324112616734555,29,0,0.0,0,0.0,0,0.0,0,0.0,0.0
47,0.00439453125,0.01891606994002596,0.08262844146817211,18,0,0.0,0,0.0,0,0.0,0,0.0,0.0
48,0.008544921875,0.01891459650183045,0.08222940314724037,35,0,0.0,0,0.0,0,0.0,0,0.0,0.0
49,0.00537109375,0.018915687204433443,0.08167566380326799,22,0,0.0,0,0.0,0,0.0,0,0.0,0.0
50,0.007080078125,0.018937917521101133,0.08121291107148529,29,0,0.0,0,0.0,0,0.0,0,0.0,0.0
51,0.005859375,0.018937264864314914,0.08069375071077044,24,0,0.0,0,0.0,0,0.0,0,0.0,0.0
52,0.008056640625,0.018912426976122432,0.08028964523491273,33,0,0.0,0,0.0,0,0.0,0,0.0,0.0
53,0.00830078125,0.0188951088285702,0.0799017878450636,34,0,0.0,0,0.0,0,0.0,0,0.0,0.0
54,0.008056640625,0.01889146791350821,0.07950560199786297,33,0,0.0,0,0.0,0,0.0,0,0.0,0.0
55,0.00732421875,0.018868775711310858,0.07907675691538435,30,0,0.0,0,0.0,0,0.0,0,0.0,0.0
56,0.009765625,0.018867189183108268,0.07877427059623048,40,0,0.0,0,0.0,0,0.0,0,0.0,0.0
57,0.008544921875,0.01886583471039884,0.07841377398401819,35,0,0.0,0,0.0,0,0.0,0,0.0,0.0
58,0.004638671875,0.018859631468390224,0.07786156983792802,19,0,0.0,0,0.0,0,0.0,0,0.0,0.0
59,0.006591796875,0.018852382608254503,0.07741254398329873,27,0,0.0,0,0.0,0,0.0,0,0.0,0.0
60,0.0068359375,0.01883602561860965,0.07698021541846573,28,0,0.0,0,0.0,0,0.0,0,0.0,0.0
61,0.006103515625,0.018820733410456085,0.07651558904553107,25,0,0.0,0,0.0,0,0.0,0,0.0,0.0
62,0.00634765625,0.01882638244297041,0.07606781596757578,26,0,0.0,0,0.0,0,0.0,0,0.0,0.0
